date	index
2017-01-01	17.80967
2017-01-02	20.52099
2017-01-03	21.39819
2017-01-04	22.56778
2017-01-05	23.01967
2017-01-06	21.37161
2017-01-07	23.8437
2017-01-08	28.68155
2017-01-09	24.5614
2017-01-10	23.47155
2017-01-11	24.58798
2017-01-12	24.08293
2017-01-13	21.71717
2017-01-14	24.42849
2017-01-15	30.17012
2017-01-16	26.92716
2017-01-17	29.31951
2017-01-18	30.56884
2017-01-19	26.84742
2017-01-20	24.32216
2017-01-21	27.64486
2017-01-22	35.67251
2017-01-23	25.30568
2017-01-24	25.17278
2017-01-25	21.39819
2017-01-26	20.25518
2017-01-27	19.24508
2017-01-28	22.19564
2017-01-29	26.74109
2017-01-30	35.75225
2017-01-31	33.73205
2017-02-01	38.99521
2017-02-02	41.25465
2017-02-03	41.01541
2017-02-04	56.48591
2017-02-05	62.65284
2017-02-06	49.57469
2017-02-07	50.29239
2017-02-08	50.85061
2017-02-09	45.00265
2017-02-10	39.4471
2017-02-11	45.82668
2017-02-12	58.53269
2017-02-13	55.44922
2017-02-14	53.50877
2017-02-15	53.90749
2017-02-16	58.26687
2017-02-17	58.00106
2017-02-18	60.84529
2017-02-19	71.34502
2017-02-20	55.07708
2017-02-21	59.78203
2017-02-22	56.7783
2017-02-23	53.93407
2017-02-24	50.50505
2017-02-25	58.26687
2017-02-26	72.32854
2017-02-27	58.69218
2017-02-28	60.89845
2017-03-01	70.17543
2017-03-02	58.90483
2017-03-03	56.08718
2017-03-04	70.44125
2017-03-05	80.78149
2017-03-06	63.45029
2017-03-07	59.43646
2017-03-08	59.22381
2017-03-09	62.706
2017-03-10	61.6959
2017-03-11	73.87028
2017-03-12	90.77618
2017-03-13	79.71823
2017-03-14	75.14619
2017-03-15	76.84742
2017-03-16	73.76395
2017-03-17	68.76661
2017-03-18	87.00159
2017-03-19	90.32429
2017-03-20	80.72833
2017-03-21	80.24986
2017-03-22	75.78415
2017-03-23	75.09303
2017-03-24	66.08187
2017-03-25	75.14619
2017-03-26	87.18766
2017-03-27	66.26794
2017-03-28	68.12865
2017-03-29	70.83997
2017-03-30	68.97926
2017-03-31	61.37692
2017-04-01	73.5513
2017-04-02	80.38277
2017-04-03	75.25252
2017-04-04	78.76129
2017-04-05	77.19298
2017-04-06	69.80329
2017-04-07	69.48431
2017-04-08	80.70175
2017-04-09	87.32057
2017-04-10	81.28654
2017-04-11	78.07017
2017-04-12	75.51834
2017-04-13	73.39181
2017-04-14	64.7262
2017-04-15	70.57416
2017-04-16	83.99787
2017-04-17	77.2993
2017-04-18	78.36257
2017-04-19	77.1664
2017-04-20	68.55396
2017-04-21	60.55289
2017-04-22	69.43115
2017-04-23	77.99043
2017-04-24	72.16905
2017-04-25	75.43859
2017-04-26	71.02604
2017-04-27	66.26794
2017-04-28	54.65178
2017-04-29	59.03774
2017-04-30	71.98298
2017-05-01	70.52099
2017-05-02	58.58585
2017-05-03	64.91228
2017-05-04	59.0909
2017-05-05	59.06432
2017-05-06	61.66932
2017-05-07	68.10207
2017-05-08	58.82509
2017-05-09	72.88676
2017-05-10	65.49707
2017-05-11	67.49069
2017-05-12	63.47687
2017-05-13	64.38064
2017-05-14	77.53854
2017-05-15	71.61084
2017-05-16	74.88038
2017-05-17	81.28654
2017-05-18	74.80063
2017-05-19	66.95906
2017-05-20	73.36523
2017-05-21	85.03455
2017-05-22	81.12706
2017-05-23	76.76767
2017-05-24	80.17012
2017-05-25	74.18926
2017-05-26	64.16799
2017-05-27	67.88942
2017-05-28	78.20308
2017-05-29	73.60446
2017-05-30	78.84104
2017-05-31	75.54492
2017-06-01	68.66028
2017-06-02	61.82881
2017-06-03	65.57682
2017-06-04	73.65762
2017-06-05	65.15151
2017-06-06	80.11695
2017-06-07	64.03508
2017-06-08	65.0186
2017-06-09	60.36682
2017-06-10	63.95534
2017-06-11	73.2589
2017-06-12	69.59064
2017-06-13	76.63476
2017-06-14	72.93992
2017-06-15	69.82987
2017-06-16	61.48325
2017-06-17	66.10845
2017-06-18	70.97288
2017-06-19	67.65018
2017-06-20	71.79691
2017-06-21	70.76023
2017-06-22	66.24136
2017-06-23	57.44284
2017-06-24	61.9883
2017-06-25	69.56406
2017-06-26	63.53003
2017-06-27	64.22115
2017-06-28	68.20839
2017-06-29	62.38702
2017-06-30	52.97713
2017-07-01	59.99468
2017-07-02	69.05901
2017-07-03	56.99096
2017-07-04	60.44657
2017-07-05	59.48963
2017-07-06	62.2807
2017-07-07	52.87081
2017-07-08	54.54545
2017-07-09	62.12121
2017-07-10	57.12387
2017-07-11	58.0808
2017-07-12	58.58585
2017-07-13	59.03774
2017-07-14	46.17224
2017-07-15	55.31632
2017-07-16	57.41626
2017-07-17	55.42264
2017-07-18	55.02392
2017-07-19	53.80116
2017-07-20	47.92663
2017-07-21	40.29771
2017-07-22	46.19883
2017-07-23	52.36576
2017-07-24	49.22913
2017-07-25	47.07602
2017-07-26	46.8102
2017-07-27	42.13184
2017-07-28	37.26741
2017-07-29	39.8724
2017-07-30	41.99893
2017-07-31	42.15842
2017-08-01	39.58001
2017-08-02	40.35087
2017-08-03	41.57363
2017-08-04	36.62945
2017-08-05	36.65603
2017-08-06	39.20786
2017-08-07	39.68633
2017-08-08	44.31153
2017-08-09	44.68367
2017-08-10	42.74322
2017-08-11	41.14832
2017-08-12	39.92557
2017-08-13	48.16586
2017-08-14	49.17597
2017-08-15	55.84795
2017-08-16	54.27963
2017-08-17	55.28973
2017-08-18	48.64433
2017-08-19	52.76448
2017-08-20	67.49069
2017-08-21	64.35406
2017-08-22	62.12121
2017-08-23	59.75544
2017-08-24	55.0505
2017-08-25	51.08984
2017-08-26	57.78841
2017-08-27	69.85645
2017-08-28	67.09197
2017-08-29	71.77033
2017-08-30	67.78309
2017-08-31	64.51355
2017-09-01	64.38064
2017-09-02	65.70972
2017-09-03	72.32854
2017-09-04	70.60074
2017-09-05	78.70813
2017-09-06	79.45241
2017-09-07	73.23232
2017-09-08	66.16161
2017-09-09	65.62998
2017-09-10	85.61935
2017-09-11	73.12599
2017-09-12	71.74375
2017-09-13	73.15257
2017-09-14	75.09303
2017-09-15	58.50611
2017-09-16	64.80595
2017-09-17	72.43487
2017-09-18	69.53748
2017-09-19	74.40191
2017-09-20	66.50717
2017-09-21	64.3009
2017-09-22	53.61509
2017-09-23	60.04784
2017-09-24	68.89952
2017-09-25	59.88835
2017-09-26	60.34024
2017-09-27	52.31259
2017-09-28	44.0723
2017-09-29	32.40297
2017-09-30	32.74853
2017-10-01	41.01541
2017-10-02	31.63211
2017-10-03	29.79797
2017-10-04	25.41201
2017-10-05	30.38277
2017-10-06	32.29665
2017-10-07	37.02817
2017-10-08	45.5077
