date	index
2017-01-01	10.6802
2017-01-02	12.15758
2017-01-03	10.58787
2017-01-04	10.92643
2017-01-05	11.78824
2017-01-06	10.12619
2017-01-07	12.74238
2017-01-08	14.37365
2017-01-09	12.86549
2017-01-10	13.66574
2017-01-11	14.68144
2017-01-12	13.63496
2017-01-13	13.29639
2017-01-14	14.18898
2017-01-15	16.83594
2017-01-16	15.29701
2017-01-17	17.17451
2017-01-18	16.65127
2017-01-19	16.28193
2017-01-20	14.98922
2017-01-21	16.31271
2017-01-22	20.25238
2017-01-23	17.97476
2017-01-24	16.4666
2017-01-25	14.06586
2017-01-26	11.44967
2017-01-27	11.04955
2017-01-28	10.64943
2017-01-29	12.80393
2017-01-30	17.38996
2017-01-31	17.14373
2017-02-01	18.37488
2017-02-02	21.26808
2017-02-03	18.28254
2017-02-04	18.99045
2017-02-05	24.43828
2017-02-06	19.82148
2017-02-07	20.49861
2017-02-08	20.56017
2017-02-09	19.97537
2017-02-10	15.94336
2017-02-11	16.40504
2017-02-12	23.48414
2017-02-13	22.0991
2017-02-14	22.28377
2017-02-15	22.31455
2017-02-16	23.82271
2017-02-17	21.05263
2017-02-18	23.91505
2017-02-19	26.22345
2017-02-20	24.89996
2017-02-21	20.25238
2017-02-22	21.26808
2017-02-23	20.2216
2017-02-24	17.75931
2017-02-25	21.26808
2017-02-26	24.53062
2017-02-27	27.76238
2017-02-28	28.50107
2017-03-01	33.39489
2017-03-02	22.93013
2017-03-03	25.63865
2017-03-04	30.99415
2017-03-05	37.64235
2017-03-06	30.31702
2017-03-07	30.44013
2017-03-08	29.20898
2017-03-09	30.68636
2017-03-10	31.73284
2017-03-11	40.47399
2017-03-12	47.15297
2017-03-13	41.95136
2017-03-14	45.15235
2017-03-15	40.50477
2017-03-16	43.24407
2017-03-17	36.38042
2017-03-18	42.07448
2017-03-19	47.70698
2017-03-20	45.58325
2017-03-21	41.36657
2017-03-22	42.53616
2017-03-23	36.78054
2017-03-24	33.02554
2017-03-25	34.65681
2017-03-26	43.33641
2017-03-27	37.05755
2017-03-28	34.31825
2017-03-29	36.10341
2017-03-30	35.08771
2017-03-31	30.25546
2017-04-01	30.59402
2017-04-02	36.01108
2017-04-03	34.13357
2017-04-04	34.56448
2017-04-05	31.79439
2017-04-06	28.13173
2017-04-07	24.34595
2017-04-08	22.65312
2017-04-09	26.71591
2017-04-10	26.25423
2017-04-11	26.16189
2017-04-12	26.65435
2017-04-13	24.28439
2017-04-14	21.29886
2017-04-15	22.62234
2017-04-16	21.2373
2017-04-17	21.88365
2017-04-18	22.0991
2017-04-19	25.82333
2017-04-20	21.17574
2017-04-21	20.86795
2017-04-22	21.02185
2017-04-23	22.34533
2017-04-24	23.48414
2017-04-25	23.42259
2017-04-26	22.83779
2017-04-27	21.36041
2017-04-28	17.75931
2017-04-29	18.22099
2017-04-30	18.86734
2017-05-01	17.26685
2017-05-02	14.65066
2017-05-03	13.11172
2017-05-04	11.44967
2017-05-05	10.92643
2017-05-06	12.03447
2017-05-07	14.61988
