date	index
2017-01-01	6.3063
2017-01-02	11.71171
2017-01-03	10.81081
2017-01-04	9.009
2017-01-05	13.51351
2017-01-06	3.6036
2017-01-07	10.81081
2017-01-08	12.61261
2017-01-09	2.7027
2017-01-10	6.3063
2017-01-11	11.71171
2017-01-12	2.7027
2017-01-13	10.81081
2017-01-14	8.1081
2017-01-15	8.1081
2017-01-16	4.5045
2017-01-17	0.9009
2017-01-18	8.1081
2017-01-19	3.6036
2017-01-20	5.4054
2017-01-21	4.5045
2017-01-22	18.01801
2017-01-23	9.9099
2017-01-24	13.51351
2017-01-25	3.6036
2017-01-26	6.3063
2017-01-27	10.81081
2017-01-28	9.9099
2017-01-29	9.009
2017-01-30	9.009
2017-01-31	24.32432
2017-02-01	16.21621
2017-02-02	19.81981
2017-02-03	11.71171
2017-02-04	20.72072
2017-02-05	32.43243
2017-02-06	25.22522
2017-02-07	27.92792
2017-02-08	30.63063
2017-02-09	32.43243
2017-02-10	32.43243
2017-02-11	27.92792
2017-02-12	34.23423
2017-02-13	29.72972
2017-02-14	25.22522
2017-02-15	27.02702
2017-02-16	31.53153
2017-02-17	27.92792
2017-02-18	51.35135
2017-02-19	58.55855
2017-02-20	48.64864
2017-02-21	55.85585
2017-02-22	39.63963
2017-02-23	30.63063
2017-02-24	36.03603
2017-02-25	38.73873
2017-02-26	70.27027
2017-02-27	45.04504
2017-02-28	36.03603
2017-03-01	66.66666
2017-03-02	43.24324
2017-03-03	37.83783
2017-03-04	57.65765
2017-03-05	57.65765
2017-03-06	59.45945
2017-03-07	51.35135
2017-03-08	40.54054
2017-03-09	47.74774
2017-03-10	51.35135
2017-03-11	45.94594
2017-03-12	69.36936
2017-03-13	51.35135
2017-03-14	53.15315
2017-03-15	49.54954
2017-03-16	70.27027
2017-03-17	52.25225
2017-03-18	51.35135
2017-03-19	54.95495
2017-03-20	67.56756
2017-03-21	61.26126
2017-03-22	60.36036
2017-03-23	53.15315
2017-03-24	46.84684
2017-03-25	59.45945
2017-03-26	54.05405
2017-03-27	42.34234
2017-03-28	41.44144
2017-03-29	51.35135
2017-03-30	29.72972
2017-03-31	39.63963
2017-04-01	58.55855
2017-04-02	53.15315
2017-04-03	41.44144
2017-04-04	52.25225
2017-04-05	58.55855
2017-04-06	44.14414
2017-04-07	29.72972
2017-04-08	35.13513
2017-04-09	47.74774
2017-04-10	37.83783
2017-04-11	50.45045
2017-04-12	49.54954
2017-04-13	39.63963
2017-04-14	45.04504
2017-04-15	46.84684
2017-04-16	37.83783
2017-04-17	38.73873
2017-04-18	29.72972
2017-04-19	30.63063
2017-04-20	36.93693
2017-04-21	36.03603
2017-04-22	27.02702
2017-04-23	22.52252
2017-04-24	28.82882
2017-04-25	32.43243
2017-04-26	34.23423
2017-04-27	43.24324
2017-04-28	20.72072
2017-04-29	20.72072
2017-04-30	34.23423
2017-05-01	24.32432
2017-05-02	17.11711
2017-05-03	15.31531
2017-05-04	7.2072
2017-05-05	9.009
2017-05-06	18.01801
2017-05-07	6.3063
2017-05-08	7.2072
2017-05-09	23.42342
2017-05-10	9.9099
2017-05-11	14.41441
2017-05-12	7.2072
2017-05-13	14.41441
2017-05-14	15.31531
2017-05-15	12.61261
2017-05-16	17.11711
2017-05-17	18.01801
2017-05-18	10.81081
2017-05-19	6.3063
2017-05-20	10.81081
2017-05-21	10.81081
2017-05-22	9.009
2017-05-23	1.8018
2017-05-24	7.2072
2017-05-25	2.7027
2017-05-26	7.2072
2017-05-27	9.9099
2017-05-28	10.81081
2017-05-29	7.2072
2017-05-30	1.8018
2017-05-31	4.5045
2017-06-01	6.3063
2017-06-02	0.9009
2017-06-03	1.8018
2017-06-04	1.8018
2017-06-05	6.3063
2017-06-06	4.5045
2017-06-07	4.5045
2017-06-08	8.1081
2017-06-09	0
2017-06-10	3.6036
2017-06-11	5.4054
2017-06-12	11.71171
2017-06-13	2.7027
2017-06-14	2.7027
2017-06-15	2.7027
2017-06-16	3.6036
2017-06-17	0
2017-06-18	0
2017-06-19	0.9009
2017-06-20	0
2017-06-21	0
2017-06-22	2.7027
2017-06-23	0
2017-06-24	4.5045
2017-06-25	4.5045
2017-06-26	0
2017-06-27	0
2017-06-28	0
2017-06-29	0
2017-06-30	0
2017-07-01	1.8018
2017-07-02	0
2017-07-03	0
2017-07-04	0
2017-07-05	0
2017-07-06	0
2017-07-07	0
2017-07-08	2.7027
2017-07-09	0
2017-07-10	0
2017-07-11	0
2017-07-12	0
2017-07-13	0
2017-07-14	0.9009
2017-07-15	0
2017-07-16	0
2017-07-17	0.9009
2017-07-18	0
2017-07-19	0
2017-07-20	0.9009
2017-07-21	0
2017-07-22	0
2017-07-23	3.6036
2017-07-24	0
2017-07-25	0
2017-07-26	0
2017-07-27	0.9009
2017-07-28	0
2017-07-29	0.9009
2017-07-30	0
2017-07-31	3.6036
2017-08-01	0.9009
2017-08-02	0
2017-08-03	0
2017-08-04	0
2017-08-05	0
2017-08-06	0
2017-08-07	0
2017-08-08	1.8018
2017-08-09	1.8018
2017-08-10	0.9009
2017-08-11	2.7027
2017-08-12	2.7027
2017-08-13	0
2017-08-14	5.4054
2017-08-15	9.9099
2017-08-16	9.009
2017-08-17	9.009
2017-08-18	6.3063
2017-08-19	2.7027
2017-08-20	7.2072
2017-08-21	11.71171
2017-08-22	10.81081
2017-08-23	7.2072
2017-08-24	6.3063
2017-08-25	7.2072
2017-08-26	10.81081
2017-08-27	16.21621
2017-08-28	23.42342
2017-08-29	33.33333
2017-08-30	33.33333
2017-08-31	35.13513
2017-09-01	49.54954
2017-09-02	49.54954
2017-09-03	52.25225
2017-09-04	54.95495
2017-09-05	47.74774
2017-09-06	72.07207
2017-09-07	28.82882
2017-09-08	55.85585
2017-09-09	49.54954
2017-09-10	37.83783
2017-09-11	37.83783
2017-09-12	33.33333
2017-09-13	41.44144
2017-09-14	26.12612
2017-09-15	23.42342
2017-09-16	58.55855
2017-09-17	40.54054
2017-09-18	31.53153
2017-09-19	27.02702
2017-09-20	45.04504
2017-09-21	27.02702
2017-09-22	36.03603
2017-09-23	48.64864
2017-09-24	35.13513
2017-09-25	21.62162
2017-09-26	22.52252
2017-09-27	31.53153
2017-09-28	27.92792
2017-09-29	31.53153
2017-09-30	30.63063
2017-10-01	42.34234
2017-10-02	33.33333
2017-10-03	20.72072
2017-10-04	28.82882
2017-10-05	36.93693
2017-10-06	37.83783
2017-10-07	26.12612
2017-10-08	36.03603
2017-10-09	43.24324
2017-10-10	32.43243
2017-10-11	47.74774
