date	index
2017-01-01	10.95732
2017-01-02	32.87197
2017-01-03	46.7128
2017-01-04	50.86505
2017-01-05	55.47866
2017-01-06	50.05767
2017-01-07	50.40369
2017-01-08	62.62975
2017-01-09	57.09342
2017-01-10	52.82583
2017-01-11	52.01845
2017-01-12	51.44175
2017-01-13	47.75086
2017-01-14	47.2895
2017-01-15	53.51787
2017-01-16	47.98154
2017-01-17	47.63552
2017-01-18	45.79008
2017-01-19	48.67358
2017-01-20	41.52249
2017-01-21	47.17416
2017-01-22	54.78662
2017-01-23	48.67358
2017-01-24	37.48558
2017-01-25	41.40715
2017-01-26	34.71741
2017-01-27	31.02652
2017-01-28	25.37485
2017-01-29	41.06113
2017-01-30	52.24913
2017-01-31	47.98154
2017-02-01	41.40715
2017-02-02	22.49134
2017-02-03	18.10841
2017-02-04	22.49134
2017-02-05	23.41407
2017-02-06	24.56747
2017-02-07	23.64475
2017-02-08	24.91349
2017-02-09	21.33794
2017-02-10	18.68512
2017-02-11	18.10841
2017-02-12	23.52941
2017-02-13	24.68281
2017-02-14	22.14532
2017-02-15	24.91349
2017-02-16	25.49019
2017-02-17	18.9158
2017-02-18	21.56862
2017-02-19	23.64475
2017-02-20	26.98961
2017-02-21	23.87543
2017-02-22	23.52941
2017-02-23	25.60553
2017-02-24	21.68396
2017-02-25	23.99077
2017-02-26	27.68166
2017-02-27	28.83506
2017-02-28	28.02768
2017-03-01	34.71741
2017-03-02	28.48904
2017-03-03	26.18223
2017-03-04	36.21683
2017-03-05	38.985
2017-03-06	31.02652
2017-03-07	34.60207
2017-03-08	35.29411
2017-03-09	28.14302
2017-03-10	31.14186
2017-03-11	36.56286
2017-03-12	46.48212
2017-03-13	44.75201
2017-03-14	37.71626
2017-03-15	39.10034
2017-03-16	38.52364
2017-03-17	32.06459
2017-03-18	36.44752
2017-03-19	44.75201
2017-03-20	40.48442
2017-03-21	45.09803
2017-03-22	37.2549
2017-03-23	35.40945
2017-03-24	39.33102
2017-03-25	41.52249
2017-03-26	35.87081
2017-03-27	33.67935
2017-03-28	36.33217
2017-03-29	36.56286
2017-03-30	34.83275
2017-03-31	28.60438
2017-04-01	33.67935
2017-04-02	36.33217
2017-04-03	38.75432
2017-04-04	43.13725
2017-04-05	39.67704
2017-04-06	34.02537
2017-04-07	33.56401
2017-04-08	44.52133
2017-04-09	38.17762
2017-04-10	33.10265
2017-04-11	39.21568
2017-04-12	40.7151
2017-04-13	37.02422
2017-04-14	30.56516
2017-04-15	31.2572
2017-04-16	41.29181
2017-04-17	35.98615
2017-04-18	32.64129
2017-04-19	34.83275
2017-04-20	34.48673
2017-04-21	30.44982
2017-04-22	30.1038
2017-04-23	31.14186
2017-04-24	34.48673
2017-04-25	37.2549
2017-04-26	34.02537
2017-04-27	31.83391
2017-04-28	22.60668
2017-04-29	26.29757
2017-04-30	30.6805
2017-05-01	27.10495
2017-05-02	31.02652
2017-05-03	26.98961
2017-05-04	23.87543
2017-05-05	22.72202
2017-05-06	25.02883
2017-05-07	25.49019
2017-05-08	27.56632
2017-05-09	28.71972
2017-05-10	25.02883
2017-05-11	21.68396
2017-05-12	23.06805
2017-05-13	22.60668
2017-05-14	27.33564
2017-05-15	21.7993
2017-05-16	31.02652
2017-05-17	27.22029
2017-05-18	26.06689
2017-05-19	22.26066
2017-05-20	17.18569
2017-05-21	19.4925
2017-05-22	22.72202
2017-05-23	20.53056
2017-05-24	26.41291
2017-05-25	24.33679
2017-05-26	20.99192
2017-05-27	15.10957
2017-05-28	21.91464
2017-05-29	25.02883
2017-05-30	23.64475
2017-05-31	18.3391
2017-06-01	19.14648
2017-06-02	17.53171
2017-06-03	16.49365
2017-06-04	20.41522
2017-06-05	18.80046
2017-06-06	22.83737
2017-06-07	20.87658
2017-06-08	17.53171
2017-06-09	19.4925
2017-06-10	18.56978
2017-06-11	26.06689
2017-06-12	21.7993
2017-06-13	20.76124
2017-06-14	21.56862
2017-06-15	23.06805
2017-06-16	16.72433
2017-06-17	17.41637
2017-06-18	17.18569
2017-06-19	21.68396
2017-06-20	19.4925
2017-06-21	18.10841
2017-06-22	15.22491
2017-06-23	12.22606
2017-06-24	16.03229
2017-06-25	15.10957
2017-06-26	15.68627
2017-06-27	15.91695
2017-06-28	15.22491
2017-06-29	13.03344
2017-06-30	10.72664
2017-07-01	11.53402
2017-07-02	16.26297
2017-07-03	10.95732
2017-07-04	15.34025
2017-07-05	12.11072
2017-07-06	10.84198
2017-07-07	11.53402
2017-07-08	10.72664
2017-07-09	13.72549
2017-07-10	11.41868
2017-07-11	11.53402
2017-07-12	11.99538
2017-07-13	10.95732
2017-07-14	10.0346
2017-07-15	10.84198
2017-07-16	7.61245
2017-07-17	13.84083
2017-07-18	9.80392
2017-07-19	10.26528
2017-07-20	10.0346
2017-07-21	6.34371
2017-07-22	6.68973
2017-07-23	7.95847
2017-07-24	9.22722
2017-07-25	10.95732
2017-07-26	10.26528
2017-07-27	12.3414
2017-07-28	8.18915
2017-07-29	7.84313
2017-07-30	9.57324
2017-07-31	8.07381
2017-08-01	11.88004
2017-08-02	13.61014
2017-08-03	10.6113
2017-08-04	8.99653
2017-08-05	8.76585
2017-08-06	10.38062
2017-08-07	11.188
2017-08-08	11.07266
2017-08-09	16.49365
2017-08-10	18.22376
2017-08-11	12.9181
2017-08-12	13.37946
2017-08-13	16.60899
2017-08-14	23.18339
2017-08-15	24.22145
2017-08-16	23.52941
2017-08-17	19.26182
2017-08-18	17.99307
2017-08-19	17.64705
2017-08-20	20.53056
2017-08-21	18.68512
2017-08-22	24.68281
2017-08-23	21.2226
2017-08-24	21.2226
2017-08-25	18.56978
2017-08-26	18.68512
2017-08-27	26.06689
2017-08-28	26.64359
2017-08-29	32.41061
2017-08-30	28.02768
2017-08-31	23.41407
2017-09-01	73.47174
2017-09-02	79.23875
2017-09-03	99.76931
2017-09-04	87.31257
2017-09-05	94.80968
2017-09-06	99.88465
2017-09-07	94.46366
2017-09-08	77.50865
2017-09-09	83.73702
2017-09-10	97.46251
2017-09-11	94.80968
2017-09-12	92.15686
2017-09-13	100.0
2017-09-14	93.77162
2017-09-15	78.54671
2017-09-16	52.94117
2017-09-17	69.43483
2017-09-18	69.08881
2017-09-19	73.01038
2017-09-20	69.20415
2017-09-21	65.51326
2017-09-22	61.36101
2017-09-23	56.7474
2017-09-24	65.51326
2017-09-25	63.78316
2017-09-26	47.63552
2017-09-27	27.797
2017-09-28	24.22145
2017-09-29	22.02998
2017-09-30	20.29988
2017-10-01	23.64475
2017-10-02	23.52941
2017-10-03	16.60899
2017-10-04	15.68627
2017-10-05	18.3391
2017-10-06	25.37485
2017-10-07	31.83391
2017-10-08	29.5271
2017-10-09	36.33217
2017-10-10	33.21799
2017-10-11	37.71626
2017-10-12	37.02422
2017-10-13	29.87312
2017-10-14	27.68166
2017-10-15	32.87197
2017-10-16	39.10034
2017-10-17	33.79469
2017-10-18	36.21683
2017-10-19	32.75663
2017-10-20	27.91234
2017-10-21	25.37485
2017-10-22	32.64129
2017-10-23	35.17877
2017-10-24	33.21799
2017-10-25	32.98731
2017-10-26	26.64359
2017-10-27	22.02998
2017-10-28	23.76009
2017-10-29	27.797
2017-10-30	24.91349
2017-10-31	22.376
2017-11-01	22.83737
2017-11-02	22.02998
2017-11-03	17.99307
2017-11-04	19.83852
2017-11-05	17.99307
2017-11-06	26.29757
2017-11-07	20.87658
2017-11-08	26.87427
2017-11-09	20.41522
2017-11-10	18.3391
2017-11-11	16.95501
2017-11-12	20.76124
2017-11-13	21.10726
2017-11-14	23.99077
2017-11-15	17.30103
2017-11-16	23.06805
2017-11-17	28.02768
2017-11-18	23.52941
2017-11-19	32.64129
2017-11-20	32.75663
2017-11-21	36.90888
2017-11-22	31.71856
2017-11-23	33.91003
2017-11-24	26.75893
2017-11-25	27.797
2017-11-26	30.56516
2017-11-27	33.91003
2017-11-28	33.79469
2017-11-29	28.83506
2017-11-30	28.3737
2017-12-01	15.45559
2017-12-02	14.30219
2017-12-03	21.68396
2017-12-04	17.18569
2017-12-05	17.30103
2017-12-06	18.56978
2017-12-07	16.03229
2017-12-08	13.72549
2017-12-09	12.11072
2017-12-10	16.37831
2017-12-11	14.07151
2017-12-12	14.64821
2017-12-13	15.91695
2017-12-14	15.22491
2017-12-15	11.88004
2017-12-16	11.07266
2017-12-17	15.10957
