date	index
2017-01-01	29.375
2017-01-02	38.0
2017-01-03	39.5625
2017-01-04	38.5625
2017-01-05	36.4375
2017-01-06	28.9375
2017-01-07	27.8125
2017-01-08	33.75
2017-01-09	39.5625
2017-01-10	36.4375
2017-01-11	36.375
2017-01-12	37.25
2017-01-13	32.6875
2017-01-14	30.5625
2017-01-15	36.4375
2017-01-16	35.6875
2017-01-17	37.3125
2017-01-18	38.125
2017-01-19	35.125
2017-01-20	31.3125
2017-01-21	27.0
2017-01-22	32.25
2017-01-23	33.625
2017-01-24	25.0
2017-01-25	19.625
2017-01-26	18.625
2017-01-27	15.125
2017-01-28	15.625
2017-01-29	19.8125
2017-01-30	30.4375
2017-01-31	29.4375
2017-02-01	33.8125
2017-02-02	31.8125
2017-02-03	28.4375
2017-02-04	28.24999
2017-02-05	35.375
2017-02-06	34.125
2017-02-07	37.5625
2017-02-08	34.1875
2017-02-09	31.125
2017-02-10	27.3125
2017-02-11	24.875
2017-02-12	33.25
2017-02-13	35.0
2017-02-14	34.375
2017-02-15	34.4375
2017-02-16	34.49999
2017-02-17	27.4375
2017-02-18	25.625
2017-02-19	34.0
2017-02-20	30.8125
2017-02-21	32.25
2017-02-22	35.875
2017-02-23	28.9375
2017-02-24	27.4375
2017-02-25	29.375
2017-02-26	35.4375
2017-02-27	33.625
2017-02-28	34.0
2017-03-01	42.5625
2017-03-02	39.125
2017-03-03	35.3125
2017-03-04	38.0625
2017-03-05	45.375
2017-03-06	41.5
2017-03-07	46.25
2017-03-08	46.0625
2017-03-09	41.75
2017-03-10	38.125
2017-03-11	42.3125
2017-03-12	54.0
2017-03-13	56.4375
2017-03-14	51.81249
2017-03-15	51.4375
2017-03-16	46.75
2017-03-17	43.875
2017-03-18	43.4375
2017-03-19	55.43749
2017-03-20	57.625
2017-03-21	49.375
2017-03-22	50.0
2017-03-23	48.1875
2017-03-24	44.3125
2017-03-25	41.625
2017-03-26	44.875
2017-03-27	49.375
2017-03-28	53.625
2017-03-29	47.9375
2017-03-30	44.75
