date	index
2017-01-01	11.21599
2017-01-02	10.71626
2017-01-03	12.07662
2017-01-04	14.65852
2017-01-05	12.32648
2017-01-06	12.63187
2017-01-07	16.99056
2017-01-08	21.79344
2017-01-09	16.74069
2017-01-10	18.90616
2017-01-11	18.4342
2017-01-12	15.26929
2017-01-13	12.57634
2017-01-14	15.35258
2017-01-15	18.29539
2017-01-16	16.90727
2017-01-17	14.26985
2017-01-18	15.21377
2017-01-19	13.9367
2017-01-20	12.02109
2017-01-21	12.29872
2017-01-22	15.76901
2017-01-23	10.99389
2017-01-24	12.13214
2017-01-25	10.38312
2017-01-26	8.16213
2017-01-27	6.94058
2017-01-28	8.71737
2017-01-29	12.6041
2017-01-30	13.29816
2017-01-31	13.79789
2017-02-01	20.15546
2017-02-02	18.71182
2017-02-03	18.26762
2017-02-04	22.32093
2017-02-05	28.70627
2017-02-06	24.23653
2017-02-07	23.54247
2017-02-08	21.84897
2017-02-09	18.4342
2017-02-10	17.18489
2017-02-11	18.90616
2017-02-12	26.51304
2017-02-13	21.09938
2017-02-14	21.07162
2017-02-15	19.98889
2017-02-16	26.45752
2017-02-17	34.0644
2017-02-18	42.19877
2017-02-19	51.80455
2017-02-20	41.8101
2017-02-21	37.56246
2017-02-22	41.17157
2017-02-23	34.39755
2017-02-24	31.09383
2017-02-25	37.34036
2017-02-26	44.05885
2017-02-27	37.22931
2017-02-28	43.9478
2017-03-01	45.66907
2017-03-02	35.25818
2017-03-03	37.42365
2017-03-04	44.58634
2017-03-05	49.69461
2017-03-06	38.97834
2017-03-07	39.95002
2017-03-08	40.3387
2017-03-09	42.28206
2017-03-10	39.31149
2017-03-11	50.08328
2017-03-12	54.46973
2017-03-13	44.36424
2017-03-14	44.47529
2017-03-15	45.75235
2017-03-16	46.44641
2017-03-17	42.75402
2017-03-18	48.55635
2017-03-19	56.191
2017-03-20	51.11049
2017-03-21	46.64075
2017-03-22	44.66962
2017-03-23	44.91948
2017-03-24	41.83786
2017-03-25	46.5297
2017-03-26	49.47251
2017-03-27	43.33703
2017-03-28	43.03164
2017-03-29	43.80899
2017-03-30	35.14714
2017-03-31	30.84397
2017-04-01	28.06774
2017-04-02	26.04108
2017-04-03	29.37257
2017-04-04	38.47862
2017-04-05	39.70016
2017-04-06	38.95058
2017-04-07	41.72681
2017-04-08	46.5297
2017-04-09	48.72293
2017-04-10	44.53081
2017-04-11	46.91837
2017-04-12	45.16935
2017-04-13	41.53248
2017-04-14	37.03498
2017-04-15	49.44475
2017-04-16	56.60744
2017-04-17	55.08051
2017-04-18	53.19267
2017-04-19	50.38867
2017-04-20	48.4453
2017-04-21	38.86729
2017-04-22	47.58467
2017-04-23	56.94058
2017-04-24	48.80621
2017-04-25	49.50027
2017-04-26	48.80621
2017-04-27	43.78123
2017-04-28	39.25596
2017-04-29	45.16935
2017-04-30	52.33203
2017-05-01	58.80066
2017-05-02	59.99444
2017-05-03	66.18545
2017-05-04	55.41365
2017-05-05	56.16324
2017-05-06	60.29983
2017-05-07	64.90838
2017-05-08	53.13714
2017-05-09	69.15602
2017-05-10	52.88728
2017-05-11	58.7729
2017-05-12	52.47084
2017-05-13	60.07773
2017-05-14	67.12937
2017-05-15	60.93836
2017-05-16	57.74569
2017-05-17	57.21821
2017-05-18	61.43808
2017-05-19	58.3287
2017-05-20	59.10605
2017-05-21	71.34925
2017-05-22	70.62742
2017-05-23	68.18434
2017-05-24	64.54747
2017-05-25	66.0744
2017-05-26	55.33037
2017-05-27	59.88339
2017-05-28	68.60077
2017-05-29	69.40588
2017-05-30	70.46085
2017-05-31	67.74014
2017-06-01	64.35313
2017-06-02	53.44253
2017-06-03	62.382
2017-06-04	61.63242
2017-06-05	54.35868
2017-06-06	67.15713
2017-06-07	54.35868
2017-06-08	55.46918
2017-06-09	54.35868
2017-06-10	58.07884
2017-06-11	63.18711
2017-06-12	57.16268
2017-06-13	63.15935
2017-06-14	59.93892
2017-06-15	61.41032
2017-06-16	62.35424
2017-06-17	67.40699
2017-06-18	74.34758
2017-06-19	82.50971
2017-06-20	87.47917
2017-06-21	92.17101
2017-06-22	86.36868
2017-06-23	83.23153
2017-06-24	91.11604
2017-06-25	91.64353
2017-06-26	84.7307
2017-06-27	87.0905
2017-06-28	89.81121
2017-06-29	88.14547
2017-06-30	78.23431
2017-07-01	91.33814
2017-07-02	100.0
2017-07-03	81.78789
2017-07-04	82.98167
2017-07-05	77.48473
2017-07-06	74.12548
2017-07-07	69.18378
2017-07-08	79.03942
2017-07-09	79.01166
2017-07-10	72.09883
2017-07-11	73.51471
2017-07-12	76.48528
2017-07-13	73.04275
2017-07-14	65.82454
2017-07-15	74.15324
2017-07-16	89.14491
2017-07-17	77.12382
2017-07-18	80.03886
2017-07-19	82.34314
2017-07-20	80.4553
2017-07-21	69.79455
2017-07-22	71.82121
2017-07-23	84.86951
2017-07-24	72.45974
2017-07-25	77.98445
2017-07-26	73.18156
2017-07-27	65.68573
2017-07-28	57.99555
2017-07-29	61.799
2017-07-30	64.68628
2017-07-31	61.85452
2017-08-01	61.82676
2017-08-02	63.79789
2017-08-03	61.10494
2017-08-04	56.24652
2017-08-05	65.82454
2017-08-06	69.85008
2017-08-07	67.71238
2017-08-08	71.73792
2017-08-09	67.90671
2017-08-10	62.93725
2017-08-11	50.91615
2017-08-12	52.83176
2017-08-13	58.21765
2017-08-14	48.08439
2017-08-15	56.57967
2017-08-16	46.27984
2017-08-17	53.55358
2017-08-18	43.53137
2017-08-19	52.05441
2017-08-20	57.55136
2017-08-21	53.30372
2017-08-22	56.55191
2017-08-23	57.52359
2017-08-24	54.10882
2017-08-25	46.16879
2017-08-26	52.80399
2017-08-27	56.46862
2017-08-28	59.66129
2017-08-29	55.69128
2017-08-30	52.44308
2017-08-31	49.47251
2017-09-01	41.92115
2017-09-02	47.14047
2017-09-03	46.14103
2017-09-04	49.19489
2017-09-05	52.9428
2017-09-06	48.86174
2017-09-07	46.66851
2017-09-08	42.94836
2017-09-09	46.11327
2017-09-10	45.53026
2017-09-11	50.72182
2017-09-12	48.38978
2017-09-13	50.66629
2017-09-14	45.91893
2017-09-15	41.53248
2017-09-16	38.45086
2017-09-17	52.19322
2017-09-18	50.27762
2017-09-19	54.19211
2017-09-20	49.05607
2017-09-21	49.88895
2017-09-22	41.31038
2017-09-23	43.28151
2017-09-24	55.27484
2017-09-25	44.66962
2017-09-26	35.23042
2017-09-27	29.70571
2017-09-28	25.9578
2017-09-29	19.65574
2017-09-30	20.23875
2017-10-01	29.67795
2017-10-02	23.29261
2017-10-03	20.90505
2017-10-04	15.10272
2017-10-05	16.24097
2017-10-06	20.29428
2017-10-07	24.01443
2017-10-08	27.37368
2017-10-09	27.31815
2017-10-10	24.79178
2017-10-11	25.98556
2017-10-12	28.06774
2017-10-13	20.5719
2017-10-14	20.90505
2017-10-15	26.15213
2017-10-16	21.84897
2017-10-17	26.62409
2017-10-18	27.73459
2017-10-19	22.18212
2017-10-20	24.81954
2017-10-21	25.2915
2017-10-22	25.7357
2017-10-23	23.98667
2017-10-24	24.98611
2017-10-25	23.62576
2017-10-26	24.20877
2017-10-27	20.43309
2017-10-28	23.87562
2017-10-29	29.42809
2017-10-30	21.84897
2017-10-31	21.07162
2017-11-01	22.87617
2017-11-02	22.37645
2017-11-03	21.34925
2017-11-04	21.57134
2017-11-05	22.2654
2017-11-06	22.45974
2017-11-07	24.54192
2017-11-08	25.87451
2017-11-09	23.18156
2017-11-10	20.59966
2017-11-11	22.51526
2017-11-12	23.57023
2017-11-13	25.09716
2017-11-14	24.45863
2017-11-15	24.23653
2017-11-16	21.96002
2017-11-17	17.74014
2017-11-18	21.71016
2017-11-19	17.43475
2017-11-20	17.57357
2017-11-21	17.29594
2017-11-22	18.32315
2017-11-23	18.76735
2017-11-24	15.35258
2017-11-25	19.48917
2017-11-26	17.35147
2017-11-27	17.65685
2017-11-28	20.46085
2017-11-29	18.82287
2017-11-30	18.46196
2017-12-01	14.82509
2017-12-02	17.87895
2017-12-03	22.40421
2017-12-04	20.82176
2017-12-05	19.65574
2017-12-06	17.82343
2017-12-07	19.26707
2017-12-08	17.74014
2017-12-09	18.76735
2017-12-10	20.82176
2017-12-11	21.73792
2017-12-12	18.54525
2017-12-13	18.54525
2017-12-14	17.85119
2017-12-15	15.90782
2017-12-16	19.21154
2017-12-17	21.40477
2017-12-18	15.57468
2017-12-19	16.10216
2017-12-20	17.93448
2017-12-21	17.24042
2017-12-22	14.88062
2017-12-23	16.96279
2017-12-24	16.65741
2017-12-25	18.90616
2017-12-26	16.24097
2017-12-27	19.04497
2017-12-28	15.76901
2017-12-29	15.35258
2017-12-30	17.96224
2017-12-31	19.85008
2018-01-01	20.09994
2018-01-02	21.48806
2018-01-03	20.15546
2018-01-04	18.90616
2018-01-05	18.60077
2018-01-06	23.01499
2018-01-07	29.95558
2018-01-08	21.79344
2018-01-09	20.82176
2018-01-10	19.01721
2018-01-11	16.76846
2018-01-12	16.01887
2018-01-13	19.93337
2018-01-14	21.48806
2018-01-15	20.93281
2018-01-16	35.98001
2018-01-17	36.09106
2018-01-18	36.14658
2018-01-19	33.45363
2018-01-20	40.3387
2018-01-21	42.50416
2018-01-22	35.03609
2018-01-23	35.50805
2018-01-24	31.73237
2018-01-25	30.81621
2018-01-26	28.17878
2018-01-27	30.6774
2018-01-28	40.14436
2018-01-29	35.36923
2018-01-30	33.42587
2018-01-31	36.8684
2018-02-01	39.64464
2018-02-02	35.53581
2018-02-03	40.1166
2018-02-04	45.91893
2018-02-05	38.08995
2018-02-06	38.72848
2018-02-07	36.4242
2018-02-08	35.34147
2018-02-09	29.3448
2018-02-10	39.25596
2018-02-11	42.55968
2018-02-12	31.37146
2018-02-13	29.23375
2018-02-14	25.18045
2018-02-15	27.98445
2018-02-16	20.15546
2018-02-17	26.20766
2018-02-18	37.20155
2018-02-19	29.84453
2018-02-20	25.34702
2018-02-21	22.65408
2018-02-22	25.70794
2018-02-23	25.34702
2018-02-24	27.84564
2018-02-25	31.39922
2018-02-26	26.42976
2018-02-27	26.87395
2018-02-28	25.79122
2018-03-01	33.56468
2018-03-02	29.31704
2018-03-03	35.23042
2018-03-04	41.44919
2018-03-05	31.59355
2018-03-06	30.42754
2018-03-07	30.76068
2018-03-08	32.00999
2018-03-09	26.40199
2018-03-10	38.784
2018-03-11	44.03109
2018-03-12	36.4242
2018-03-13	40.42198
2018-03-14	42.00444
2018-03-15	42.75402
2018-03-16	33.73126
2018-03-17	39.36701
2018-03-18	45.08606
2018-03-19	32.3709
2018-03-20	32.34314
2018-03-21	29.01166
2018-03-22	28.42865
2018-03-23	28.78956
2018-03-24	33.28706
2018-03-25	36.84064
2018-03-26	30.76068
2018-03-27	33.92559
2018-03-28	36.06329
2018-03-29	39.78345
2018-03-30	30.39977
2018-03-31	34.67518
2018-04-01	42.19877
2018-04-02	46.02998
2018-04-03	48.94503
2018-04-04	41.17157
2018-04-05	37.11826
2018-04-06	31.42698
2018-04-07	33.28706
2018-04-08	39.6724
2018-04-09	32.593
2018-04-10	37.03498
2018-04-11	36.84064
2018-04-12	38.58967
2018-04-13	33.09272
2018-04-14	40.69961
2018-04-15	42.19877
2018-04-16	39.53359
2018-04-17	40.61632
2018-04-18	41.33814
2018-04-19	43.22598
2018-04-20	43.22598
2018-04-21	48.72293
2018-04-22	53.6091
2018-04-23	42.92059
2018-04-24	39.70016
2018-04-25	39.86674
2018-04-26	42.92059
2018-04-27	42.36535
2018-04-28	48.02887
2018-04-29	50.55524
2018-04-30	45.36368
2018-05-01	59.68906
2018-05-02	54.16435
2018-05-03	48.77845
2018-05-04	37.64575
2018-05-05	41.75458
2018-05-06	50.05552
2018-05-07	50.77734
2018-05-08	48.27873
2018-05-09	50.66629
2018-05-10	48.8895
2018-05-11	47.89006
2018-05-12	50.94392
2018-05-13	55.19156
2018-05-14	51.88784
2018-05-15	59.38367
2018-05-16	55.16379
2018-05-17	48.41754
2018-05-18	36.22987
2018-05-19	48.27873
2018-05-20	54.2754
2018-05-21	48.00111
2018-05-22	49.36146
2018-05-23	47.64019
2018-05-24	55.19156
2018-05-25	53.13714
2018-05-26	57.44031
2018-05-27	67.57357
2018-05-28	64.35313
2018-05-29	66.68517
2018-05-30	63.18711
2018-05-31	65.96335
2018-06-01	63.7146
2018-06-02	71.54358
2018-06-03	72.51526
2018-06-04	70.1277
2018-06-05	66.54636
2018-06-06	77.54025
2018-06-07	72.51526
2018-06-08	62.07662
2018-06-09	72.73736
2018-06-10	69.71127
2018-06-11	62.382
2018-06-12	62.15991
2018-06-13	70.07218
2018-06-14	48.52859
2018-06-15	47.61243
2018-06-16	54.4975
2018-06-17	65.99111
2018-06-18	71.43253
2018-06-19	69.54469
2018-06-20	62.57634
2018-06-21	59.74458
2018-06-22	62.96501
2018-06-23	70.18323
2018-06-24	76.29094
2018-06-25	68.35091
2018-06-26	75.01388
2018-06-27	68.71182
2018-06-28	66.82398
2018-06-29	62.18767
2018-06-30	72.54303
2018-07-01	70.26651
2018-07-02	66.65741
2018-07-03	69.15602
2018-07-04	77.92892
2018-07-05	70.48861
2018-07-06	62.24319
2018-07-07	65.71349
2018-07-08	73.1538
2018-07-09	58.60632
2018-07-10	68.68406
2018-07-11	70.73847
2018-07-12	74.23653
2018-07-13	67.7679
2018-07-14	74.34758
2018-07-15	82.03775
2018-07-16	80.98278
2018-07-17	81.81565
2018-07-18	90.31093
2018-07-19	84.61965
2018-07-20	73.40366
2018-07-21	80.70516
2018-07-22	74.81954
2018-07-23	76.62409
2018-07-24	79.1227
2018-07-25	79.59466
2018-07-26	72.57079
2018-07-27	65.4081
2018-07-28	67.46252
2018-07-29	71.26596
2018-07-30	64.13103
2018-07-31	64.99167
2018-08-01	61.93781
2018-08-02	61.96557
2018-08-03	58.93947
2018-08-04	60.77179
2018-08-05	63.10383
2018-08-06	60.0222
2018-08-07	65.51915
2018-08-08	59.74458
2018-08-09	55.69128
2018-08-10	52.19322
2018-08-11	57.24597
2018-08-12	59.91116
2018-08-13	56.44086
2018-08-14	55.7468
2018-08-15	67.40699
2018-08-16	52.97057
2018-08-17	48.11215
2018-08-18	45.61354
2018-08-19	47.4181
2018-08-20	49.16712
2018-08-21	44.41976
2018-08-22	42.75402
2018-08-23	40.25541
2018-08-24	37.03498
