date	index
2017-01-01	16.69902
2017-01-02	13.0097
2017-01-03	16.50485
2017-01-04	13.7864
2017-01-05	12.62135
2017-01-06	16.31067
2017-01-07	15.72815
2017-01-08	18.4466
2017-01-09	14.17475
2017-01-10	20.38834
2017-01-11	17.47572
2017-01-12	19.61165
2017-01-13	14.36893
2017-01-14	21.74757
2017-01-15	15.3398
2017-01-16	13.0097
2017-01-17	14.5631
2017-01-18	17.86407
2017-01-19	15.72815
2017-01-20	14.17475
2017-01-21	15.3398
2017-01-22	15.3398
2017-01-23	13.98058
2017-01-24	15.3398
2017-01-25	13.20388
2017-01-26	10.09708
2017-01-27	7.57281
2017-01-28	7.96116
2017-01-29	7.37864
2017-01-30	15.53398
2017-01-31	18.25242
2017-02-01	18.64077
2017-02-02	12.42718
2017-02-03	12.81553
2017-02-04	15.72815
2017-02-05	20.58252
2017-02-06	16.69902
2017-02-07	21.74757
2017-02-08	19.02912
2017-02-09	23.68932
2017-02-10	16.31067
2017-02-11	20.0
2017-02-12	22.91262
2017-02-13	18.25242
2017-02-14	15.72815
2017-02-15	20.38834
2017-02-16	18.05825
2017-02-17	16.31067
2017-02-18	21.55339
2017-02-19	22.33009
2017-02-20	22.71844
2017-02-21	23.68932
2017-02-22	18.64077
2017-02-23	22.52427
2017-02-24	15.14563
2017-02-25	19.41747
2017-02-26	24.85436
2017-02-27	26.79611
2017-02-28	19.41747
2017-03-01	24.46601
2017-03-02	18.25242
2017-03-03	28.34951
2017-03-04	25.82524
2017-03-05	29.51456
2017-03-06	21.94174
2017-03-07	31.65048
2017-03-08	25.82524
2017-03-09	25.43689
2017-03-10	24.66019
2017-03-11	27.18446
2017-03-12	35.72815
2017-03-13	41.35922
2017-03-14	49.90291
2017-03-15	46.01941
2017-03-16	48.15533
2017-03-17	41.35922
2017-03-18	35.14563
2017-03-19	40.19417
2017-03-20	47.96116
2017-03-21	35.53398
2017-03-22	39.61165
2017-03-23	36.31067
2017-03-24	25.04854
2017-03-25	26.60194
2017-03-26	33.7864
2017-03-27	33.20388
2017-03-28	40.58252
2017-03-29	35.72815
2017-03-30	24.66019
2017-03-31	23.10679
2017-04-01	26.99029
2017-04-02	25.43689
2017-04-03	29.90291
2017-04-04	27.37864
2017-04-05	28.54368
2017-04-06	29.51456
2017-04-07	23.88349
2017-04-08	16.1165
2017-04-09	26.21359
2017-04-10	24.85436
2017-04-11	17.08737
2017-04-12	26.01941
2017-04-13	27.37864
2017-04-14	23.10679
2017-04-15	16.1165
2017-04-16	18.83495
2017-04-17	18.25242
2017-04-18	16.69902
2017-04-19	21.94174
2017-04-20	25.04854
2017-04-21	16.8932
2017-04-22	17.47572
2017-04-23	18.4466
2017-04-24	18.25242
2017-04-25	25.82524
2017-04-26	19.02912
2017-04-27	18.83495
2017-04-28	14.36893
2017-04-29	15.92233
2017-04-30	9.90291
2017-05-01	7.57281
2017-05-02	7.18446
2017-05-03	3.30097
2017-05-04	6.21359
2017-05-05	2.91262
2017-05-06	4.66019
2017-05-07	5.82524
2017-05-08	4.85436
2017-05-09	8.34951
2017-05-10	8.34951
2017-05-11	6.01941
2017-05-12	6.60194
2017-05-13	5.43689
2017-05-14	7.18446
2017-05-15	8.54368
2017-05-16	11.84466
2017-05-17	6.79611
2017-05-18	3.49514
2017-05-19	5.24271
2017-05-20	5.82524
2017-05-21	2.33009
2017-05-22	3.68932
2017-05-23	3.10679
2017-05-24	5.24271
2017-05-25	3.68932
2017-05-26	2.71844
2017-05-27	3.88349
2017-05-28	4.07766
2017-05-29	2.13592
2017-05-30	3.68932
2017-05-31	2.91262
2017-06-01	3.10679
2017-06-02	1.35922
2017-06-03	1.35922
2017-06-04	2.52427
2017-06-05	1.35922
2017-06-06	1.94174
2017-06-07	2.13592
2017-06-08	3.68932
2017-06-09	1.74757
2017-06-10	1.94174
2017-06-11	3.88349
2017-06-12	2.33009
2017-06-13	3.68932
2017-06-14	0.77669
2017-06-15	0.38834
2017-06-16	1.74757
2017-06-17	1.16504
2017-06-18	2.33009
2017-06-19	1.94174
2017-06-20	1.16504
2017-06-21	0.97087
2017-06-22	0.38834
2017-06-23	0.38834
2017-06-24	0
2017-06-25	0.38834
2017-06-26	0
2017-06-27	0
2017-06-28	0
2017-06-29	0
2017-06-30	0
2017-07-01	0.38834
2017-07-02	0.19417
2017-07-03	0
2017-07-04	0.77669
2017-07-05	0
2017-07-06	0.58252
2017-07-07	0.38834
2017-07-08	0
2017-07-09	0.58252
2017-07-10	0
2017-07-11	0.77669
2017-07-12	0.97087
2017-07-13	0
2017-07-14	0
2017-07-15	0
2017-07-16	0.58252
2017-07-17	0
2017-07-18	0
2017-07-19	0
2017-07-20	0
2017-07-21	0
2017-07-22	0
2017-07-23	0
2017-07-24	0
2017-07-25	0
2017-07-26	0
2017-07-27	0
2017-07-28	0
2017-07-29	0
2017-07-30	0.38834
2017-07-31	0
2017-08-01	0.77669
2017-08-02	0.19417
2017-08-03	0.19417
2017-08-04	0
2017-08-05	0
2017-08-06	0.97087
2017-08-07	0.19417
2017-08-08	0.58252
2017-08-09	0.38834
2017-08-10	0.77669
2017-08-11	0.77669
2017-08-12	0.38834
2017-08-13	0.77669
2017-08-14	0.77669
2017-08-15	1.94174
2017-08-16	2.33009
2017-08-17	0.77669
2017-08-18	1.35922
2017-08-19	1.55339
2017-08-20	2.91262
2017-08-21	2.71844
2017-08-22	1.94174
2017-08-23	2.52427
2017-08-24	2.91262
2017-08-25	2.33009
2017-08-26	5.43689
2017-08-27	3.68932
2017-08-28	5.04854
2017-08-29	10.09708
2017-08-30	11.06796
2017-08-31	11.84466
2017-09-01	8.34951
2017-09-02	9.70873
2017-09-03	8.54368
2017-09-04	11.26213
2017-09-05	12.62135
2017-09-06	11.65048
2017-09-07	10.48543
2017-09-08	10.67961
2017-09-09	8.15533
2017-09-10	7.76699
2017-09-11	14.5631
2017-09-12	9.12621
2017-09-13	10.87378
2017-09-14	12.42718
2017-09-15	14.95145
2017-09-16	14.36893
2017-09-17	13.98058
2017-09-18	11.84466
2017-09-19	13.20388
2017-09-20	17.47572
2017-09-21	15.14563
2017-09-22	20.58252
2017-09-23	17.28155
2017-09-24	14.95145
2017-09-25	13.20388
2017-09-26	17.08737
2017-09-27	15.92233
2017-09-28	19.80582
2017-09-29	16.50485
2017-09-30	20.97087
2017-10-01	21.74757
2017-10-02	20.58252
2017-10-03	16.50485
2017-10-04	17.28155
2017-10-05	21.74757
2017-10-06	29.90291
