date	index
2017-01-01	28.97908
2017-01-02	24.50184
2017-01-03	26.27306
2017-01-04	25.70725
2017-01-05	22.04182
2017-01-06	19.85239
2017-01-07	20.5412
2017-01-08	26.15006
2017-01-09	24.79704
2017-01-10	27.28167
2017-01-11	32.96432
2017-01-12	26.78966
2017-01-13	29.32349
2017-01-14	33.28413
2017-01-15	38.76998
2017-01-16	33.75153
2017-01-17	32.66912
2017-01-18	27.25707
2017-01-19	22.60762
2017-01-20	26.15006
2017-01-21	27.45387
2017-01-22	33.16113
2017-01-23	28.53628
2017-01-24	27.38007
2017-01-25	21.18081
2017-01-26	16.97416
2017-01-27	12.66912
2017-01-28	13.01353
2017-01-29	18.76998
2017-01-30	20.3936
2017-01-31	23.34563
2017-02-01	21.84501
2017-02-02	20.0
2017-02-03	15.22755
2017-02-04	15.81795
2017-02-05	18.47478
2017-02-06	16.43296
2017-02-07	14.76014
2017-02-08	14.90774
2017-02-09	16.55596
2017-02-10	17.73677
2017-02-11	18.64698
2017-02-12	19.87699
2017-02-13	12.93972
2017-02-14	12.81672
2017-02-15	10.8733
2017-02-16	9.24969
2017-02-17	8.36408
2017-02-18	7.74907
2017-02-19	9.88929
2017-02-20	9.07749
2017-02-21	8.92988
2017-02-22	6.81426
2017-02-23	7.62607
2017-02-24	5.90405
2017-02-25	5.48585
2017-02-26	6.12546
2017-02-27	5.43665
2017-02-28	3.83763
2017-03-01	4.50184
2017-03-02	3.86223
2017-03-03	3.12423
2017-03-04	3.37023
2017-03-05	3.12423
2017-03-06	3.56703
2017-03-07	4.28044
2017-03-08	4.40344
2017-03-09	3.54243
2017-03-10	3.05043
2017-03-11	2.01722
2017-03-12	2.58302
2017-03-13	1.86961
2017-03-14	1.89421
2017-03-15	1.91881
2017-03-16	1.57441
2017-03-17	0.9348
2017-03-18	1.15621
2017-03-19	0.6888
2017-03-20	0.7872
2017-03-21	0.8118
2017-03-22	1.18081
2017-03-23	0.9348
2017-03-24	0.7134
2017-03-25	0.738
2017-03-26	1.20541
2017-03-27	1.05781
2017-03-28	1.00861
2017-03-29	0.861
2017-03-30	0.3936
2017-03-31	0.5412
2017-04-01	0.6396
2017-04-02	0.5412
2017-04-03	0.123
2017-04-04	0.246
2017-04-05	0.4182
2017-04-06	0.1722
2017-04-07	0.369
2017-04-08	0.2214
2017-04-09	0.369
2017-04-10	0.246
2017-04-11	0.1476
2017-04-12	0.2214
2017-04-13	0.246
2017-04-14	0.2214
2017-04-15	0.1968
2017-04-16	0.3444
2017-04-17	0.1722
2017-04-18	0.0984
2017-04-19	0.1968
2017-04-20	0.2706
2017-04-21	0.246
2017-04-22	0.2214
2017-04-23	0.4182
2017-04-24	0.2214
2017-04-25	0.3444
2017-04-26	0.2952
2017-04-27	0.1476
2017-04-28	0.2214
2017-04-29	0.1476
2017-04-30	0.123
2017-05-01	0.0984
2017-05-02	0.0738
2017-05-03	0.1476
2017-05-04	0.1476
2017-05-05	0.0492
2017-05-06	0.0492
2017-05-07	0.0738
2017-05-08	0.1968
2017-05-09	0.123
2017-05-10	0.0246
2017-05-11	0.0984
2017-05-12	0.1476
2017-05-13	0.1722
2017-05-14	0.3444
2017-05-15	0.1722
2017-05-16	0.2706
2017-05-17	0.2214
2017-05-18	0.123
2017-05-19	0.2952
2017-05-20	0.1722
2017-05-21	0.1722
2017-05-22	0.2706
2017-05-23	0.3444
2017-05-24	0.2952
2017-05-25	0.1722
2017-05-26	0.3198
2017-05-27	0.1722
2017-05-28	0.2706
2017-05-29	0.369
2017-05-30	0.3444
2017-05-31	0.5658
2017-06-01	0.369
2017-06-02	0.1968
2017-06-03	0.246
2017-06-04	0.2706
2017-06-05	0.1476
2017-06-06	0.3936
2017-06-07	0.369
2017-06-08	0.3444
2017-06-09	0.2214
2017-06-10	0.1968
2017-06-11	0.1968
2017-06-12	0.1722
2017-06-13	0.5904
2017-06-14	0.246
2017-06-15	0.369
2017-06-16	0.369
2017-06-17	0.4674
2017-06-18	0.4674
2017-06-19	0.4182
2017-06-20	0.4674
2017-06-21	0.5412
2017-06-22	0.4674
2017-06-23	0.492
2017-06-24	0.5166
2017-06-25	0.3444
2017-06-26	0.4674
2017-06-27	0.7134
2017-06-28	0.5412
2017-06-29	0.615
2017-06-30	0.2706
2017-07-01	0.861
2017-07-02	0.5658
2017-07-03	0.4428
2017-07-04	0.6396
2017-07-05	0.984
2017-07-06	1.05781
2017-07-07	0.7134
2017-07-08	0.9102
2017-07-09	0.738
2017-07-10	0.6888
2017-07-11	0.5166
2017-07-12	0.5166
2017-07-13	0.8856
2017-07-14	0.8364
2017-07-15	0.738
2017-07-16	1.27921
2017-07-17	0.6396
2017-07-18	0.615
2017-07-19	1.27921
2017-07-20	0.7872
2017-07-21	0.861
2017-07-22	1.00861
2017-07-23	1.30381
2017-07-24	0.984
2017-07-25	0.8856
2017-07-26	0.9594
2017-07-27	1.15621
2017-07-28	0.7134
2017-07-29	0.615
2017-07-30	1.37761
2017-07-31	1.27921
2017-08-01	1.05781
2017-08-02	0.9348
2017-08-03	1.05781
2017-08-04	1.32841
2017-08-05	0.984
2017-08-06	1.62361
2017-08-07	1.67281
2017-08-08	1.30381
2017-08-09	1.52521
2017-08-10	1.77121
2017-08-11	1.52521
2017-08-12	1.94341
2017-08-13	1.74661
2017-08-14	2.23862
2017-08-15	3.00123
2017-08-16	2.77982
2017-08-17	2.18942
2017-08-18	2.06642
2017-08-19	2.09102
2017-08-20	2.70602
2017-08-21	2.18942
2017-08-22	2.16482
2017-08-23	2.28782
2017-08-24	2.28782
2017-08-25	2.21402
2017-08-26	2.38622
2017-08-27	2.63222
2017-08-28	3.05043
2017-08-29	2.87822
2017-08-30	3.39483
2017-08-31	2.38622
2017-09-01	3.29643
2017-09-02	3.34563
2017-09-03	3.34563
2017-09-04	2.68142
2017-09-05	2.95202
2017-09-06	2.33702
2017-09-07	2.18942
2017-09-08	2.50922
2017-09-09	2.06642
2017-09-10	2.95202
2017-09-11	3.81303
2017-09-12	2.36162
2017-09-13	2.09102
2017-09-14	2.80442
2017-09-15	2.31242
2017-09-16	2.95202
2017-09-17	3.73923
2017-09-18	3.07503
2017-09-19	2.11562
2017-09-20	3.27183
2017-09-21	3.22263
2017-09-22	2.28782
2017-09-23	2.48462
2017-09-24	3.39483
2017-09-25	2.16482
2017-09-26	2.63222
2017-09-27	2.33702
2017-09-28	3.41943
2017-09-29	3.83763
2017-09-30	3.86223
2017-10-01	5.28905
2017-10-02	4.15744
2017-10-03	4.03444
2017-10-04	3.96063
2017-10-05	5.21525
2017-10-06	6.49446
2017-10-07	6.12546
2017-10-08	5.60885
2017-10-09	4.99384
2017-10-10	4.37884
2017-10-11	7.57687
2017-10-12	11.02091
2017-10-13	14.07134
2017-10-14	13.70233
2017-10-15	14.48954
2017-10-16	14.48954
2017-10-17	11.93111
2017-10-18	15.27675
2017-10-19	13.75153
2017-10-20	11.48831
2017-10-21	10.1599
2017-10-22	14.02214
2017-10-23	14.31734
2017-10-24	16.30996
2017-10-25	16.58056
2017-10-26	14.56334
2017-10-27	14.76014
2017-10-28	15.81795
2017-10-29	23.12423
2017-10-30	47.03567
2017-10-31	37.07257
2017-11-01	33.92373
2017-11-02	28.24108
2017-11-03	31.80811
2017-11-04	39.01599
2017-11-05	44.82164
2017-11-06	39.45879
2017-11-07	34.56334
2017-11-08	31.34071
2017-11-09	37.39237
2017-11-10	33.11193
2017-11-11	44.37884
2017-11-12	47.82287
2017-11-13	54.29274
2017-11-14	56.53136
2017-11-15	74.61254
2017-11-16	81.82041
2017-11-17	75.52275
2017-11-18	78.40098
2017-11-19	98.49938
2017-11-20	100.0
2017-11-21	92.93972
2017-11-22	81.05781
2017-11-23	84.82164
2017-11-24	78.25338
2017-11-25	70.3567
2017-11-26	66.22386
2017-11-27	62.41082
2017-11-28	53.50553
2017-11-29	57.36777
2017-11-30	67.13407
2017-12-01	70.0123
2017-12-02	61.79581
2017-12-03	60.9348
2017-12-04	69.56949
2017-12-05	81.74661
2017-12-06	70.5535
2017-12-07	62.92742
2017-12-08	67.45387
2017-12-09	60.4182
2017-12-10	70.5289
2017-12-11	78.89298
2017-12-12	85.58425
2017-12-13	79.08979
2017-12-14	68.75768
2017-12-15	58.35178
2017-12-16	62.28782
2017-12-17	72.22632
2017-12-18	60.5658
2017-12-19	58.30258
2017-12-20	55.25215
2017-12-21	43.37023
2017-12-22	33.13653
2017-12-23	36.60516
2017-12-24	33.23493
2017-12-25	36.75276
2017-12-26	41.40221
2017-12-27	43.05043
2017-12-28	36.55596
2017-12-29	30.0615
2017-12-30	29.20049
2017-12-31	25.46125
2018-01-01	29.96309
2018-01-02	29.37269
2018-01-03	32.93972
2018-01-04	36.28536
2018-01-05	36.01476
2018-01-06	41.23001
2018-01-07	45.41205
2018-01-08	46.61746
2018-01-09	54.95694
2018-01-10	61.18081
2018-01-11	68.80688
2018-01-12	63.27183
2018-01-13	61.57441
2018-01-14	57.29397
2018-01-15	41.25461
2018-01-16	36.38376
2018-01-17	34.51414
2018-01-18	31.46371
2018-01-19	28.11808
2018-01-20	32.89052
2018-01-21	38.05658
2018-01-22	38.79458
2018-01-23	47.20787
2018-01-24	58.35178
2018-01-25	60.1476
2018-01-26	60.0738
2018-01-27	60.246
2018-01-28	61.08241
2018-01-29	55.12915
2018-01-30	54.09594
2018-01-31	46.17466
2018-02-01	42.06642
2018-02-02	38.89298
2018-02-03	45.80565
2018-02-04	59.08979
2018-02-05	57.68757
2018-02-06	57.44157
2018-02-07	49.54489
2018-02-08	40.7134
2018-02-09	27.10947
2018-02-10	30.9471
2018-02-11	34.90774
2018-02-12	27.84747
2018-02-13	22.87822
2018-02-14	16.33456
2018-02-15	14.85854
2018-02-16	15.62115
2018-02-17	19.92619
2018-02-18	22.33702
2018-02-19	15.74415
2018-02-20	16.26076
2018-02-21	14.53874
2018-02-22	14.24354
2018-02-23	12.42312
2018-02-24	13.13653
2018-02-25	14.44034
2018-02-26	10.4305
2018-02-27	10.1107
2018-02-28	8.85608
2018-03-01	9.32349
2018-03-02	8.41328
2018-03-03	6.69126
2018-03-04	6.49446
2018-03-05	5.95325
2018-03-06	5.46125
2018-03-07	5.87945
2018-03-08	6.39606
2018-03-09	4.64944
2018-03-10	5.55965
2018-03-11	5.63345
2018-03-12	3.88683
2018-03-13	2.58302
2018-03-14	1.54981
2018-03-15	1.47601
2018-03-16	1.67281
2018-03-17	2.70602
2018-03-18	2.46002
2018-03-19	2.16482
2018-03-20	3.17343
2018-03-21	3.59163
2018-03-22	2.21402
2018-03-23	2.23862
2018-03-24	2.11562
2018-03-25	1.40221
2018-03-26	0.7872
2018-03-27	0.7872
2018-03-28	0.3198
2018-03-29	0.4182
2018-03-30	0.492
2018-03-31	0.4182
2018-04-01	0.5904
2018-04-02	0.2214
2018-04-03	0.246
2018-04-04	0.3444
2018-04-05	0.5658
2018-04-06	0.7134
2018-04-07	0.8856
2018-04-08	0.984
2018-04-09	0.5166
2018-04-10	0.3444
2018-04-11	0.3198
2018-04-12	0.2706
2018-04-13	0.492
2018-04-14	0.5166
2018-04-15	0.492
2018-04-16	0.492
2018-04-17	0.2706
2018-04-18	0.3198
2018-04-19	0.4674
2018-04-20	0.1722
2018-04-21	0.2952
2018-04-22	0.1968
2018-04-23	0.4428
2018-04-24	0.369
2018-04-25	0.369
2018-04-26	0.1968
2018-04-27	0.4182
2018-04-28	0.2706
2018-04-29	0.2952
2018-04-30	0.1476
2018-05-01	0.1722
2018-05-02	0.3936
2018-05-03	0.1722
2018-05-04	0.1476
2018-05-05	0
2018-05-06	0.3444
2018-05-07	0.123
2018-05-08	0.2214
2018-05-09	0.1722
2018-05-10	0.3198
2018-05-11	0.1722
2018-05-12	0.369
2018-05-13	0.5166
2018-05-14	0.123
2018-05-15	0.3198
2018-05-16	0.2952
2018-05-17	0.1476
2018-05-18	0.1722
2018-05-19	0.4674
2018-05-20	0.4428
2018-05-21	0.4182
2018-05-22	0.5166
2018-05-23	0.8364
2018-05-24	0.3198
2018-05-25	0.246
2018-05-26	0.2952
2018-05-27	0.2214
2018-05-28	0.4182
2018-05-29	0.4428
2018-05-30	0.4428
2018-05-31	0.246
2018-06-01	0.1722
2018-06-02	0.4428
2018-06-03	0.3198
2018-06-04	0.3444
2018-06-05	0.492
2018-06-06	0.5166
2018-06-07	0.2214
2018-06-08	0.5412
2018-06-09	0.3198
2018-06-10	0.3936
2018-06-11	0.4428
2018-06-12	0.615
2018-06-13	0.5412
2018-06-14	0.6642
2018-06-15	0.4674
2018-06-16	0.7872
2018-06-17	0.6396
2018-06-18	1.03321
2018-06-19	0.492
2018-06-20	0.4428
2018-06-21	0.8856
2018-06-22	0.5412
2018-06-23	0.6642
2018-06-24	1.03321
2018-06-25	0.738
2018-06-26	0.984
2018-06-27	0.6642
2018-06-28	0.861
2018-06-29	0.7872
2018-06-30	1.13161
2018-07-01	0.8118
2018-07-02	0.984
2018-07-03	0.984
2018-07-04	0.861
2018-07-05	0.984
2018-07-06	0.9348
2018-07-07	1.03321
2018-07-08	1.25461
2018-07-09	0.9102
2018-07-10	1.35301
2018-07-11	1.05781
2018-07-12	0.9594
2018-07-13	0.738
2018-07-14	0.8118
2018-07-15	1.13161
2018-07-16	1.18081
2018-07-17	0.8364
2018-07-18	1.03321
2018-07-19	1.15621
2018-07-20	0.738
2018-07-21	0.984
2018-07-22	1.37761
2018-07-23	1.03321
2018-07-24	0.9348
2018-07-25	1.08241
2018-07-26	1.10701
2018-07-27	1.25461
2018-07-28	0.8118
2018-07-29	1.20541
2018-07-30	1.30381
2018-07-31	1.30381
2018-08-01	1.77121
2018-08-02	1.74661
2018-08-03	1.57441
2018-08-04	1.35301
2018-08-05	1.54981
2018-08-06	2.50922
2018-08-07	2.11562
2018-08-08	1.59901
2018-08-09	2.26322
2018-08-10	2.73062
2018-08-11	2.70602
2018-08-12	4.30504
2018-08-13	4.74784
