date	index
2017-01-01	2.67379
2017-01-02	0
2017-01-03	1.60427
2017-01-04	3.20855
2017-01-05	2.67379
2017-01-06	2.13903
2017-01-07	1.60427
2017-01-08	1.06951
2017-01-09	2.13903
2017-01-10	2.67379
2017-01-11	0
2017-01-12	2.13903
2017-01-13	1.60427
2017-01-14	3.20855
2017-01-15	2.13903
2017-01-16	0
2017-01-17	2.67379
2017-01-18	2.13903
2017-01-19	0
2017-01-20	4.27807
2017-01-21	2.13903
2017-01-22	3.74331
2017-01-23	0
2017-01-24	1.60427
2017-01-25	0
2017-01-26	2.67379
2017-01-27	2.67379
2017-01-28	3.74331
2017-01-29	3.20855
2017-01-30	1.60427
2017-01-31	3.20855
2017-02-01	1.60427
2017-02-02	3.74331
2017-02-03	5.34759
2017-02-04	9.62566
2017-02-05	6.95187
2017-02-06	13.36898
2017-02-07	8.55614
2017-02-08	9.62566
2017-02-09	9.62566
2017-02-10	6.95187
2017-02-11	8.55614
2017-02-12	6.41711
2017-02-13	14.4385
2017-02-14	9.62566
2017-02-15	14.97326
2017-02-16	20.32085
2017-02-17	14.97326
2017-02-18	12.83422
2017-02-19	14.4385
2017-02-20	16.04278
2017-02-21	25.13368
2017-02-22	15.50802
2017-02-23	17.64705
2017-02-24	19.78609
2017-02-25	22.45989
2017-02-26	26.2032
2017-02-27	31.5508
2017-02-28	33.15508
2017-03-01	39.03743
2017-03-02	36.89839
2017-03-03	37.96791
2017-03-04	60.96256
2017-03-05	86.09625
2017-03-06	63.1016
2017-03-07	44.38502
2017-03-08	42.24598
2017-03-09	48.12834
2017-03-10	63.1016
2017-03-11	49.73262
2017-03-12	72.72727
2017-03-13	94.6524
2017-03-14	85.02673
2017-03-15	88.23529
2017-03-16	79.67914
2017-03-17	63.1016
2017-03-18	78.07486
2017-03-19	74.33155
2017-03-20	90.37433
2017-03-21	76.47058
2017-03-22	100.0
2017-03-23	76.47058
2017-03-24	62.03208
2017-03-25	67.37967
2017-03-26	77.00534
2017-03-27	63.63636
2017-03-28	91.9786
2017-03-29	87.16577
2017-03-30	73.79679
2017-03-31	67.91443
2017-04-01	79.67914
2017-04-02	82.8877
2017-04-03	97.3262
2017-04-04	77.00534
2017-04-05	87.70053
2017-04-06	78.60962
2017-04-07	58.82352
2017-04-08	59.89304
2017-04-09	62.03208
2017-04-10	78.60962
2017-04-11	65.24064
2017-04-12	51.33689
2017-04-13	62.03208
2017-04-14	58.28877
2017-04-15	41.71122
2017-04-16	33.15508
2017-04-17	33.68983
2017-04-18	27.27272
2017-04-19	26.2032
2017-04-20	36.89839
2017-04-21	27.27272
2017-04-22	34.75935
2017-04-23	28.34224
2017-04-24	30.48128
2017-04-25	24.59893
2017-04-26	24.59893
2017-04-27	36.36363
2017-04-28	18.71657
2017-04-29	13.36898
2017-04-30	18.18181
2017-05-01	11.22994
2017-05-02	9.0909
2017-05-03	8.55614
2017-05-04	5.88235
2017-05-05	4.27807
2017-05-06	4.27807
2017-05-07	6.95187
2017-05-08	3.74331
2017-05-09	5.88235
2017-05-10	8.02139
2017-05-11	10.16042
2017-05-12	8.55614
2017-05-13	4.81283
2017-05-14	4.81283
2017-05-15	8.02139
2017-05-16	5.88235
2017-05-17	6.95187
2017-05-18	4.81283
2017-05-19	1.60427
2017-05-20	2.13903
2017-05-21	0
2017-05-22	0
2017-05-23	1.06951
2017-05-24	0
2017-05-25	3.20855
2017-05-26	0.53475
2017-05-27	0
2017-05-28	3.20855
2017-05-29	0
2017-05-30	0
2017-05-31	0
2017-06-01	0
2017-06-02	0
2017-06-03	1.60427
2017-06-04	1.06951
2017-06-05	1.06951
2017-06-06	1.06951
2017-06-07	2.13903
2017-06-08	0
2017-06-09	0
2017-06-10	0
2017-06-11	0
2017-06-12	2.13903
2017-06-13	3.20855
2017-06-14	0
2017-06-15	0
2017-06-16	0
2017-06-17	0
2017-06-18	2.67379
2017-06-19	0
2017-06-20	0
2017-06-21	0
2017-06-22	0
2017-06-23	0
2017-06-24	0
2017-06-25	0
2017-06-26	0
2017-06-27	0
2017-06-28	0
2017-06-29	0
2017-06-30	0
2017-07-01	0
2017-07-02	1.06951
2017-07-03	0
2017-07-04	0
2017-07-05	2.67379
2017-07-06	0
2017-07-07	0
2017-07-08	0.53475
2017-07-09	1.06951
2017-07-10	2.13903
2017-07-11	0
2017-07-12	0
2017-07-13	0
2017-07-14	0
2017-07-15	0
2017-07-16	0
2017-07-17	0
2017-07-18	0
2017-07-19	0
2017-07-20	0
2017-07-21	0
2017-07-22	0
2017-07-23	0
2017-07-24	0
2017-07-25	0
2017-07-26	0
2017-07-27	2.67379
2017-07-28	1.60427
2017-07-29	0
2017-07-30	0
2017-07-31	0
2017-08-01	0
2017-08-02	0
2017-08-03	2.13903
2017-08-04	0
2017-08-05	0
2017-08-06	2.67379
2017-08-07	2.67379
2017-08-08	0
2017-08-09	0
2017-08-10	3.20855
2017-08-11	1.60427
2017-08-12	1.06951
2017-08-13	2.67379
2017-08-14	8.02139
2017-08-15	4.81283
2017-08-16	4.81283
2017-08-17	4.27807
2017-08-18	2.67379
2017-08-19	2.67379
2017-08-20	5.88235
2017-08-21	4.81283
2017-08-22	2.67379
2017-08-23	6.41711
2017-08-24	3.74331
2017-08-25	4.27807
2017-08-26	6.41711
2017-08-27	8.02139
2017-08-28	8.55614
2017-08-29	11.7647
2017-08-30	17.64705
2017-08-31	12.83422
2017-09-01	9.62566
2017-09-02	10.69518
2017-09-03	12.29946
2017-09-04	17.11229
2017-09-05	18.71657
2017-09-06	20.32085
2017-09-07	21.39037
2017-09-08	9.0909
2017-09-09	13.90374
2017-09-10	20.85561
2017-09-11	23.52941
2017-09-12	17.64705
2017-09-13	17.64705
2017-09-14	24.59893
2017-09-15	15.50802
2017-09-16	20.32085
2017-09-17	24.59893
2017-09-18	18.18181
2017-09-19	19.25133
2017-09-20	24.06417
2017-09-21	18.71657
2017-09-22	17.64705
2017-09-23	15.50802
2017-09-24	15.50802
2017-09-25	20.32085
2017-09-26	12.29946
2017-09-27	17.11229
2017-09-28	13.90374
2017-09-29	24.59893
2017-09-30	19.78609
2017-10-01	24.59893
2017-10-02	18.71657
2017-10-03	10.69518
2017-10-04	10.16042
2017-10-05	19.78609
2017-10-06	19.25133
2017-10-07	21.92513
2017-10-08	27.80748
2017-10-09	23.52941
2017-10-10	19.25133
2017-10-11	35.29411
2017-10-12	39.57219
2017-10-13	41.17647
2017-10-14	39.57219
2017-10-15	42.78074
2017-10-16	51.33689
2017-10-17	49.19786
2017-10-18	65.24064
2017-10-19	47.05882
2017-10-20	38.50267
2017-10-21	31.01604
2017-10-22	32.62032
2017-10-23	42.78074
2017-10-24	41.17647
2017-10-25	18.71657
2017-10-26	27.27272
2017-10-27	25.66844
2017-10-28	25.13368
2017-10-29	21.39037
2017-10-30	18.71657
2017-10-31	10.16042
2017-11-01	10.69518
2017-11-02	12.83422
2017-11-03	14.4385
2017-11-04	8.55614
2017-11-05	12.29946
2017-11-06	4.81283
2017-11-07	8.55614
2017-11-08	9.62566
2017-11-09	4.81283
2017-11-10	8.02139
2017-11-11	8.02139
2017-11-12	3.74331
2017-11-13	3.20855
2017-11-14	6.41711
2017-11-15	2.67379
2017-11-16	2.67379
2017-11-17	6.95187
2017-11-18	4.27807
2017-11-19	1.60427
2017-11-20	2.67379
2017-11-21	0
2017-11-22	2.13903
2017-11-23	1.60427
2017-11-24	1.06951
2017-11-25	2.67379
2017-11-26	3.74331
2017-11-27	0
2017-11-28	0
2017-11-29	5.88235
2017-11-30	0
2017-12-01	2.13903
2017-12-02	1.60427
2017-12-03	1.60427
2017-12-04	0
2017-12-05	1.60427
2017-12-06	1.06951
2017-12-07	1.60427
2017-12-08	1.60427
2017-12-09	2.67379
2017-12-10	2.13903
2017-12-11	4.27807
2017-12-12	0
2017-12-13	0
2017-12-14	0.53475
2017-12-15	0
2017-12-16	1.60427
2017-12-17	0
2017-12-18	0
2017-12-19	1.06951
2017-12-20	0
2017-12-21	0
2017-12-22	0
2017-12-23	0
2017-12-24	2.67379
2017-12-25	3.20855
2017-12-26	2.13903
2017-12-27	0
2017-12-28	1.06951
2017-12-29	0
2017-12-30	1.60427
2017-12-31	0
2018-01-01	1.06951
2018-01-02	3.20855
2018-01-03	2.13903
2018-01-04	3.74331
2018-01-05	1.06951
2018-01-06	0
2018-01-07	1.60427
2018-01-08	2.67379
2018-01-09	1.60427
2018-01-10	0
2018-01-11	3.74331
2018-01-12	0
2018-01-13	0.53475
2018-01-14	2.67379
2018-01-15	2.67379
2018-01-16	1.60427
2018-01-17	1.60427
2018-01-18	1.06951
2018-01-19	2.13903
2018-01-20	2.67379
2018-01-21	3.74331
2018-01-22	0
2018-01-23	2.67379
2018-01-24	3.74331
2018-01-25	3.20855
2018-01-26	2.13903
2018-01-27	2.13903
2018-01-28	3.74331
2018-01-29	0
2018-01-30	3.74331
2018-01-31	4.81283
2018-02-01	2.67379
2018-02-02	3.20855
2018-02-03	4.27807
2018-02-04	2.13903
2018-02-05	6.41711
2018-02-06	5.34759
2018-02-07	2.13903
2018-02-08	7.48663
2018-02-09	5.34759
2018-02-10	4.81283
2018-02-11	5.88235
2018-02-12	5.34759
2018-02-13	5.88235
2018-02-14	6.41711
2018-02-15	5.34759
2018-02-16	4.27807
2018-02-17	10.69518
2018-02-18	11.7647
2018-02-19	11.7647
2018-02-20	15.50802
2018-02-21	20.32085
2018-02-22	14.4385
2018-02-23	10.69518
2018-02-24	19.78609
2018-02-25	15.50802
2018-02-26	29.41176
2018-02-27	22.99465
2018-02-28	34.22459
2018-03-01	32.62032
2018-03-02	26.2032
2018-03-03	44.91978
2018-03-04	46.52406
2018-03-05	44.91978
2018-03-06	49.73262
2018-03-07	58.82352
2018-03-08	48.12834
2018-03-09	53.47593
2018-03-10	50.80213
2018-03-11	57.75401
2018-03-12	86.09625
2018-03-13	82.8877
2018-03-14	98.93048
2018-03-15	85.02673
2018-03-16	66.31016
2018-03-17	66.84491
2018-03-18	66.31016
2018-03-19	67.37967
2018-03-20	48.6631
2018-03-21	32.08556
2018-03-22	41.71122
2018-03-23	42.24598
2018-03-24	47.05882
2018-03-25	79.14438
2018-03-26	63.1016
2018-03-27	65.7754
2018-03-28	58.28877
2018-03-29	62.03208
2018-03-30	64.17112
2018-03-31	50.26737
2018-04-01	60.4278
2018-04-02	67.37967
2018-04-03	50.80213
2018-04-04	43.85026
2018-04-05	39.57219
2018-04-06	40.10695
2018-04-07	32.08556
2018-04-08	38.50267
2018-04-09	38.50267
2018-04-10	38.50267
2018-04-11	43.85026
2018-04-12	49.73262
2018-04-13	36.36363
2018-04-14	34.75935
2018-04-15	34.75935
2018-04-16	41.71122
2018-04-17	63.63636
2018-04-18	43.3155
2018-04-19	43.3155
2018-04-20	27.27272
2018-04-21	29.94652
2018-04-22	28.34224
2018-04-23	32.08556
2018-04-24	30.48128
2018-04-25	33.68983
2018-04-26	39.57219
2018-04-27	20.85561
2018-04-28	18.71657
2018-04-29	11.7647
2018-04-30	14.4385
2018-05-01	9.0909
2018-05-02	13.36898
2018-05-03	9.62566
2018-05-04	8.02139
2018-05-05	5.34759
2018-05-06	11.22994
2018-05-07	9.62566
2018-05-08	4.81283
2018-05-09	8.02139
2018-05-10	10.16042
2018-05-11	8.55614
2018-05-12	13.36898
2018-05-13	9.0909
2018-05-14	8.55614
2018-05-15	2.67379
2018-05-16	4.81283
2018-05-17	3.20855
2018-05-18	3.20855
2018-05-19	3.20855
2018-05-20	3.20855
2018-05-21	6.95187
2018-05-22	5.34759
2018-05-23	4.81283
2018-05-24	0.53475
2018-05-25	0
2018-05-26	0.53475
