date	index
2017-01-01	14.40217
2017-01-02	13.85869
2017-01-03	15.76086
2017-01-04	17.3913
2017-01-05	16.57608
2017-01-06	13.31521
2017-01-07	15.76086
2017-01-08	17.66304
2017-01-09	17.93478
2017-01-10	14.94565
2017-01-11	19.02173
2017-01-12	18.47826
2017-01-13	16.57608
2017-01-14	16.57608
2017-01-15	16.30434
2017-01-16	16.0326
2017-01-17	13.04347
2017-01-18	18.47826
2017-01-19	22.82608
2017-01-20	18.75
2017-01-21	17.11956
2017-01-22	21.19565
2017-01-23	14.94565
2017-01-24	12.77173
2017-01-25	14.13043
2017-01-26	11.68478
2017-01-27	14.13043
2017-01-28	10.32608
2017-01-29	19.56521
2017-01-30	26.35869
2017-01-31	24.18478
2017-02-01	24.72826
2017-02-02	24.45652
2017-02-03	21.46739
2017-02-04	25.27173
2017-02-05	35.05434
2017-02-06	24.45652
2017-02-07	27.98913
2017-02-08	21.19565
2017-02-09	29.07608
2017-02-10	23.36956
2017-02-11	24.18478
2017-02-12	26.35869
2017-02-13	27.44565
2017-02-14	23.09782
2017-02-15	27.98913
2017-02-16	33.42391
2017-02-17	21.19565
2017-02-18	33.96739
2017-02-19	38.85869
2017-02-20	31.25
2017-02-21	32.60869
2017-02-22	33.96739
2017-02-23	23.6413
2017-02-24	25.81521
2017-02-25	23.91304
2017-02-26	32.06521
2017-02-27	34.7826
2017-02-28	35.05434
2017-03-01	41.0326
2017-03-02	30.43478
2017-03-03	24.72826
2017-03-04	42.3913
2017-03-05	48.36956
2017-03-06	38.58695
2017-03-07	32.33695
2017-03-08	30.97826
2017-03-09	36.41304
2017-03-10	35.59782
2017-03-11	36.95652
2017-03-12	52.71739
2017-03-13	48.36956
2017-03-14	47.01086
2017-03-15	61.41304
2017-03-16	41.30434
2017-03-17	44.02173
2017-03-18	49.72826
2017-03-19	59.23913
2017-03-20	47.01086
2017-03-21	47.01086
2017-03-22	41.84782
2017-03-23	47.01086
2017-03-24	41.57608
2017-03-25	43.47826
2017-03-26	46.46739
2017-03-27	38.58695
2017-03-28	56.79347
2017-03-29	40.76086
2017-03-30	47.01086
2017-03-31	35.86956
2017-04-01	36.95652
2017-04-02	53.5326
2017-04-03	53.26086
