date	index
2017-01-01	1.57518
2017-01-02	1.93868
2017-01-03	2.0235
2017-01-04	2.0962
2017-01-05	1.84175
2017-01-06	1.82963
2017-01-07	1.72058
2017-01-08	1.86598
2017-01-09	1.96292
2017-01-10	2.1689
2017-01-11	2.22949
2017-01-12	2.20525
2017-01-13	2.0235
2017-01-14	1.53883
2017-01-15	2.18102
2017-01-16	1.90233
2017-01-17	2.12044
2017-01-18	2.33854
2017-01-19	2.01138
2017-01-20	1.99927
2017-01-21	1.61153
2017-01-22	1.9508
2017-01-23	1.78117
2017-01-24	1.98715
2017-01-25	1.72058
2017-01-26	1.34496
2017-01-27	1.47825
2017-01-28	1.04204
2017-01-29	1.53883
2017-01-30	1.67211
2017-01-31	2.30219
2017-02-01	2.30219
2017-02-02	2.3143
2017-02-03	2.2416
2017-02-04	1.69635
2017-02-05	2.07197
2017-02-06	2.36277
2017-02-07	2.18102
2017-02-08	2.05985
2017-02-09	2.03562
2017-02-10	1.41766
2017-02-11	1.7327
2017-02-12	2.10832
2017-02-13	2.27795
2017-02-14	2.0235
2017-02-15	2.41124
2017-02-16	1.81752
2017-02-17	1.92657
2017-02-18	1.52671
2017-02-19	2.18102
2017-02-20	1.98715
2017-02-21	2.21737
2017-02-22	2.19314
2017-02-23	1.8781
2017-02-24	1.90233
2017-02-25	2.19314
2017-02-26	2.3143
2017-02-27	2.19314
2017-02-28	2.52029
2017-03-01	1.9508
2017-03-02	1.79328
2017-03-03	2.01138
2017-03-04	2.0962
2017-03-05	2.73839
2017-03-06	2.25372
2017-03-07	2.20525
2017-03-08	2.42336
2017-03-09	2.13255
2017-03-10	2.01138
2017-03-11	2.41124
2017-03-12	2.68993
2017-03-13	3.00496
2017-03-14	2.79898
2017-03-15	2.43547
2017-03-16	2.50817
2017-03-17	2.37489
2017-03-18	2.77474
2017-03-19	2.84744
2017-03-20	2.56876
2017-03-21	2.78686
2017-03-22	2.66569
2017-03-23	2.78686
2017-03-24	2.62934
2017-03-25	2.73839
2017-03-26	2.60511
2017-03-27	2.18102
2017-03-28	2.37489
2017-03-29	2.92015
2017-03-30	2.29007
2017-03-31	2.22949
2017-04-01	2.07197
2017-04-02	2.21737
2017-04-03	2.79898
2017-04-04	2.01138
2017-04-05	2.15679
2017-04-06	2.43547
2017-04-07	2.0235
2017-04-08	2.18102
2017-04-09	1.85387
2017-04-10	2.10832
2017-04-11	2.45971
2017-04-12	1.84175
2017-04-13	1.7327
2017-04-14	1.76905
2017-04-15	1.78117
2017-04-16	1.53883
2017-04-17	1.90233
2017-04-18	1.82963
2017-04-19	2.03562
