date	index
2017-01-01	13.95348
2017-01-02	18.13953
2017-01-03	15.34883
2017-01-04	20.93023
2017-01-05	19.53488
2017-01-06	14.4186
2017-01-07	15.81395
2017-01-08	14.88372
2017-01-09	26.04651
2017-01-10	15.81395
2017-01-11	21.86046
2017-01-12	16.74418
2017-01-13	20.46511
2017-01-14	13.02325
2017-01-15	11.6279
2017-01-16	13.48837
2017-01-17	20.0
2017-01-18	13.95348
2017-01-19	12.09302
2017-01-20	11.6279
2017-01-21	13.95348
2017-01-22	19.06976
2017-01-23	13.02325
2017-01-24	17.67441
2017-01-25	14.88372
2017-01-26	12.09302
2017-01-27	7.90697
2017-01-28	9.30232
2017-01-29	9.30232
2017-01-30	8.8372
2017-01-31	14.4186
2017-02-01	19.06976
2017-02-02	17.67441
2017-02-03	13.02325
2017-02-04	12.09302
2017-02-05	8.8372
2017-02-06	15.81395
2017-02-07	19.06976
2017-02-08	13.48837
2017-02-09	12.55813
2017-02-10	10.23255
2017-02-11	9.76744
2017-02-12	9.76744
2017-02-13	47.44186
2017-02-14	13.02325
2017-02-15	17.67441
2017-02-16	14.88372
2017-02-17	12.55813
2017-02-18	10.69767
2017-02-19	11.16279
2017-02-20	13.02325
2017-02-21	13.02325
2017-02-22	13.02325
2017-02-23	12.55813
2017-02-24	13.48837
2017-02-25	8.8372
2017-02-26	11.16279
2017-02-27	8.37209
2017-02-28	9.30232
2017-03-01	6.97674
2017-03-02	11.16279
2017-03-03	10.69767
2017-03-04	7.90697
2017-03-05	9.30232
2017-03-06	9.76744
2017-03-07	8.8372
2017-03-08	10.23255
2017-03-09	11.6279
2017-03-10	8.37209
2017-03-11	6.04651
2017-03-12	4.65116
2017-03-13	8.8372
2017-03-14	7.90697
2017-03-15	10.23255
2017-03-16	13.02325
2017-03-17	7.90697
2017-03-18	4.18604
2017-03-19	13.02325
2017-03-20	15.34883
2017-03-21	7.90697
2017-03-22	9.30232
2017-03-23	9.30232
2017-03-24	13.95348
2017-03-25	6.51162
2017-03-26	8.8372
2017-03-27	7.44186
2017-03-28	5.58139
2017-03-29	8.37209
2017-03-30	13.02325
2017-03-31	5.11627
2017-04-01	7.44186
2017-04-02	3.25581
2017-04-03	3.25581
2017-04-04	7.44186
2017-04-05	5.58139
2017-04-06	7.90697
2017-04-07	6.97674
2017-04-08	2.79069
2017-04-09	6.51162
2017-04-10	11.6279
2017-04-11	6.97674
2017-04-12	9.30232
2017-04-13	6.51162
2017-04-14	11.6279
2017-04-15	3.72093
2017-04-16	5.58139
2017-04-17	5.11627
2017-04-18	6.04651
2017-04-19	6.04651
2017-04-20	6.97674
2017-04-21	5.11627
2017-04-22	8.37209
2017-04-23	6.51162
2017-04-24	7.44186
2017-04-25	9.30232
2017-04-26	3.72093
2017-04-27	5.58139
2017-04-28	5.58139
2017-04-29	4.18604
2017-04-30	3.25581
2017-05-01	3.72093
2017-05-02	6.51162
2017-05-03	4.65116
2017-05-04	3.72093
2017-05-05	3.25581
2017-05-06	2.79069
2017-05-07	3.25581
2017-05-08	6.97674
2017-05-09	4.65116
2017-05-10	4.65116
2017-05-11	6.97674
2017-05-12	9.30232
2017-05-13	3.72093
2017-05-14	0.93023
2017-05-15	3.72093
2017-05-16	6.51162
2017-05-17	8.37209
2017-05-18	8.37209
2017-05-19	7.90697
2017-05-20	4.18604
2017-05-21	3.72093
2017-05-22	6.51162
2017-05-23	6.97674
2017-05-24	5.58139
2017-05-25	3.72093
2017-05-26	5.58139
2017-05-27	6.04651
2017-05-28	6.97674
2017-05-29	9.30232
2017-05-30	4.18604
2017-05-31	10.69767
2017-06-01	9.76744
2017-06-02	6.97674
2017-06-03	5.58139
2017-06-04	5.11627
2017-06-05	4.18604
2017-06-06	3.72093
2017-06-07	5.58139
2017-06-08	5.11627
2017-06-09	5.11627
2017-06-10	3.25581
2017-06-11	6.04651
2017-06-12	7.90697
2017-06-13	5.11627
2017-06-14	10.23255
2017-06-15	4.18604
2017-06-16	4.18604
2017-06-17	1.86046
2017-06-18	0.46511
2017-06-19	6.51162
