date	index
2017-01-01	36.05442
2017-01-02	42.85714
2017-01-03	41.15646
2017-01-04	53.40136
2017-01-05	57.14285
2017-01-06	54.08163
2017-01-07	46.2585
2017-01-08	40.13605
2017-01-09	46.2585
2017-01-10	40.13605
2017-01-11	45.23809
2017-01-12	46.59863
2017-01-13	40.13605
2017-01-14	43.87755
2017-01-15	58.16326
2017-01-16	47.27891
2017-01-17	52.04081
2017-01-18	55.44217
2017-01-19	55.44217
2017-01-20	51.0204
2017-01-21	52.38095
2017-01-22	59.18367
2017-01-23	51.0204
2017-01-24	53.06122
2017-01-25	41.15646
2017-01-26	39.11564
2017-01-27	21.08843
2017-01-28	30.61224
2017-01-29	45.57823
2017-01-30	46.93877
2017-01-31	52.72108
2017-02-01	53.74149
2017-02-02	47.27891
2017-02-03	46.93877
2017-02-04	50.68027
2017-02-05	59.86394
2017-02-06	53.06122
2017-02-07	58.5034
2017-02-08	39.45578
2017-02-09	39.79591
2017-02-10	35.37414
2017-02-11	37.07482
2017-02-12	39.45578
2017-02-13	48.63945
2017-02-14	41.49659
2017-02-15	42.85714
2017-02-16	40.81632
2017-02-17	44.55782
2017-02-18	39.11564
2017-02-19	43.53741
2017-02-20	40.81632
2017-02-21	37.41496
2017-02-22	38.77551
2017-02-23	38.77551
2017-02-24	37.07482
2017-02-25	33.67346
2017-02-26	46.93877
2017-02-27	36.05442
2017-02-28	43.19727
2017-03-01	43.19727
2017-03-02	33.67346
2017-03-03	45.23809
2017-03-04	43.19727
2017-03-05	58.16326
2017-03-06	53.06122
2017-03-07	37.7551
2017-03-08	36.73469
2017-03-09	47.27891
2017-03-10	38.77551
2017-03-11	59.18367
2017-03-12	55.44217
2017-03-13	58.16326
2017-03-14	60.88435
2017-03-15	53.74149
2017-03-16	56.12244
2017-03-17	61.22448
2017-03-18	72.78911
2017-03-19	63.2653
2017-03-20	66.66666
2017-03-21	61.22448
2017-03-22	53.74149
2017-03-23	59.18367
2017-03-24	55.78231
2017-03-25	58.84353
2017-03-26	61.22448
2017-03-27	58.16326
2017-03-28	47.27891
2017-03-29	47.95918
2017-03-30	57.48299
2017-03-31	42.517
2017-04-01	43.19727
2017-04-02	45.23809
2017-04-03	51.36054
2017-04-04	63.2653
2017-04-05	56.46258
2017-04-06	51.36054
2017-04-07	60.54421
2017-04-08	52.38095
2017-04-09	56.12244
2017-04-10	65.30612
2017-04-11	58.16326
2017-04-12	55.78231
2017-04-13	46.93877
2017-04-14	32.99319
2017-04-15	32.65306
2017-04-16	44.21768
